language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
css,287,0.128125,12106619,0.01143861409437766,0.2584,0.3293,0.0763,1.0,2.8572382488977807e-05
coffeescript,36,0.01607142857142857,693093,0.000654850322663536,0.2999,0.3766,0.1079,1.0,0.0005395595232255849
javascript,366,0.16339285714285715,114075909,0.10778156151740989,0.6292,0.3891,0.7866,1.0,1.8290932834017965e-06
ruby,225,0.10044642857142858,8109194,0.0076617543496200514,0.357,0.4275,0.0583,1.0,7.171592471782639e-06
shell,198,0.08839285714285715,8076111,0.0076304967648158795,0.1032,0.2551,0.0101,1.0,1.5078397835004303e-05
java,143,0.06383928571428571,78457787,0.0741287347187419,0.7869,0.3316,0.9772,1.0,0.00043430803851440434
groovy,41,0.01830357142857143,146474,0.00013839202843170942,0.0791,0.0912,0.0569,0.4928904808422881,0.0012579143779613401
c,132,0.05892857142857143,129122791,0.12199820420862183,0.3434,0.3698,0.1802,1.0,4.035349663048303e-05
assembly,9,0.0040178571428571425,525069,0.000496097355002316,0.0397,0.0557,0.0178,0.13808409587877268,2.640022526948403e-05
c++,94,0.04196428571428571,246811822,0.2331935270935866,0.3161,0.359,0.1322,1.0,4.035349663048303e-05
objective-c,215,0.09598214285714286,34468868,0.032566984995731935,0.7719,0.359,0.966,1.0,0.00010553201541066148
makefile,13,0.005803571428571429,37395,3.533166229640601e-05,0.0907,0.2739,0.0085,1.0,0.0016911395156141756
python,142,0.06339285714285714,44430617,0.04197907622583115,0.5951,0.4362,0.8283,1.0,0.0
perl,34,0.015178571428571428,4748587,0.004486575003853556,0.0872,0.2359,0.0126,1.0,5.6897842112864895e-05
php,55,0.024553571428571428,28621044,0.027041825409241275,0.5271,0.4186,0.4384,1.0,2.2758796720814097e-05
emacs lisp,11,0.004910714285714286,624574,0.0005901119841453533,0.3459,0.4373,0.1218,1.0,4.6726548828388775e-05
vim script,12,0.005357142857142857,2332736,0.0022040230132014697,0.651,0.438,0.915,1.0,0.0029362214105911806
c#,19,0.008482142857142856,10566502,0.009983475874269253,0.6704,0.3855,0.9066,1.0,0.00017310335601527558
actionscript,7,0.003125,2464117,0.002328154825587193,0.4087,0.4188,0.3511,0.9610197019984464,0.0069284815891052605
logos,2,0.0008928571428571428,3551,3.3550670628302643e-06,0.122,0.1688,0.122,0.24136182542557044,0.0026818844218028633
r,8,0.0035714285714285713,269719,0.000254836759538022,0.4818,0.5129,0.4225,1.0,4.8671422270217655e-05
smalltalk,1,0.0004464285714285714,56562,5.344108792109417e-05,0.0018050610065750597,0.0018050610065750597,0.0018050610065750597,0.0018050610065750597,0.0018050610065750597
xslt,4,0.0017857142857142857,50169,4.740083342020037e-05,0.0151,0.028,0.0017,0.05708459713995289,1.0568094526321491e-05
aspectj,1,0.0004464285714285714,1817,1.7167436928083893e-06,5.79858535579874e-05,5.79858535579874e-05,5.79858535579874e-05,5.79858535579874e-05,5.79858535579874e-05
go,26,0.011607142857142858,1458989,0.0013784866062888383,0.8516,0.3208,0.996,1.0,0.0007746889670093611
scala,15,0.006696428571428571,3612285,0.003412970550564861,0.6556,0.4262,0.8985,1.0,0.0
objective-c++,10,0.004464285714285714,492674,0.0004654898085364229,0.2254,0.2914,0.0715,0.7874069868212653,0.005652292116024913
asp,4,0.0017857142857142857,6884,6.504162675450166e-06,0.0018,0.0021,0.0014,0.004266189226473453,5.704677835825377e-05
typescript,3,0.0013392857142857143,80835,7.637478063190212e-05,0.4153,0.3728,0.4765,0.7537321278385197,0.015678407440550414
idl,4,0.0017857142857142857,14758,1.3943700285341888e-05,0.0057,0.0076,0.0029,0.016713840051236495,0.0004190452717686299
standard ml,1,0.0004464285714285714,576,5.442181436750865e-07,1.0,1.0,1.0,1.0,1.0
elixir,1,0.0004464285714285714,42438,4.009640552306132e-05,0.024531940426889755,0.024531940426889755,0.024531940426889755,0.024531940426889755,0.024531940426889755
erlang,11,0.004910714285714286,302494,0.0002858033388070341,0.2086,0.3782,0.0017,1.0,0.00027995288865399716
matlab,3,0.0013392857142857143,26860,2.537795024151532e-05,0.0324,0.0459,0.0111,0.08509205998342166,0.0009277823516333446
tex,9,0.0040178571428571425,923516,0.000872559311066391,0.4393,0.4007,0.416,1.0,0.0009952908000110587
prolog,1,0.0004464285714285714,31,2.9289518149180003e-08,0.0012917204883536814,0.0012917204883536814,0.0012917204883536814,0.0012917204883536814,0.0012917204883536814
swift,2,0.0008928571428571428,58888,5.5638746605448775e-05,0.7992,0.2715,0.7992,0.9912469583180155,0.6072386058981233
clojure,18,0.008035714285714285,2395588,0.0022634070388373494,0.7755,0.3498,0.9549,1.0,0.00567215012973932
gap,1,0.0004464285714285714,116267,0.00010985175505324875,0.034959181163710426,0.034959181163710426,0.034959181163710426,0.034959181163710426,0.034959181163710426
tcl,4,0.0017857142857142857,673486,0.0006363251748457627,0.006,0.0058,0.0062,0.011589568970198678,0.00016609183176223536
graphviz (dot),2,0.0008928571428571428,44628,4.2165568256825974e-05,0.0129,0.0037,0.0129,0.015490478362506414,0.010308350684816841
vhdl,1,0.0004464285714285714,129476214,0.12233212644645529,0.43852132004114713,0.43852132004114713,0.43852132004114713,0.43852132004114713,0.43852132004114713
verilog,2,0.0008928571428571428,103762823,0.09803751895060168,0.4526,0.1476,0.4526,0.5569772236713411,0.34827183678867396
coq,1,0.0004464285714285714,61435882,0.058046044543544555,0.20807639673903464,0.20807639673903464,0.20807639673903464,0.20807639673903464,0.20807639673903464
systemverilog,1,0.0004464285714285714,517216,0.0004886776586789124,0.001751752202658644,0.001751752202658644,0.001751752202658644,0.001751752202658644,0.001751752202658644
awk,5,0.002232142857142857,23933,2.2612452834333067e-05,0.0196,0.0398,0.0004,0.09066666666666667,1.6866697799836137e-05
f#,4,0.0017857142857142857,50048,4.728650981710196e-05,0.1499,0.2979,0.0012,0.5967954542545976,0.00022460879046332495
applescript,4,0.0017857142857142857,127685,0.00012063974596380803,0.2721,0.4741,0.0456,0.982853912825022,0.014240068819318566
processing,6,0.0026785714285714286,160341,0.0001514938912760539,0.2645,0.386,0.1321,1.0,0.001189115759520494
forth,1,0.0004464285714285714,780099,0.0007370556070534571,0.9189159581310208,0.9189159581310208,0.9189159581310208,0.9189159581310208,0.9189159581310208
glsl,1,0.0004464285714285714,1105,1.0440295985433518e-06,0.001301632400163028,0.001301632400163028,0.001301632400163028,0.001301632400163028,0.001301632400163028
slash,1,0.0004464285714285714,102339,9.669225799577202e-05,0.15091598967142936,0.15091598967142936,0.15091598967142936,0.15091598967142936,0.15091598967142936
perl 6,1,0.0004464285714285714,470,4.4406688806821296e-07,0.0006930936900455525,0.0006930936900455525,0.0006930936900455525,0.0006930936900455525,0.0006930936900455525
mercury,1,0.0004464285714285714,12154,1.1483380760810766e-05,0.16327682097853247,0.16327682097853247,0.16327682097853247,0.16327682097853247,0.16327682097853247
puppet,4,0.0017857142857142857,385740,0.0003644560880924095,0.1054,0.208,0.0018,0.4173673518956038,0.0005451544715828567
m,2,0.0008928571428571428,335780,0.0003172527227139246,0.0257,0.022,0.0257,0.041250021948736164,0.010091142833445458
common lisp,3,0.0013392857142857143,114544,0.00010822382473805401,0.6669,0.5769,1.0,1.0,0.0008295185719991398
ragel in ruby host,2,0.0008928571428571428,97437,9.206073483553717e-05,0.0028,0.002,0.0028,0.004215873429297375,0.0013749158955835995
d,2,0.0008928571428571428,7488,7.074835867776125e-06,0.0009,0.001,0.0009,0.0016384328481853895,0.00024527002221272945
scheme,2,0.0008928571428571428,7862,7.4281997318984905e-06,0.2269,0.3209,0.2269,0.45379487493119686,2.245720086843317e-05
visual basic,1,0.0004464285714285714,495209,0.00046788493526249295,0.025160651549447785,0.025160651549447785,0.025160651549447785,0.025160651549447785,0.025160651549447785
pascal,1,0.0004464285714285714,489,4.62018528224162e-07,2.4845183766207736e-05,2.4845183766207736e-05,2.4845183766207736e-05,2.4845183766207736e-05,2.4845183766207736e-05
autoit,1,0.0004464285714285714,130,1.228270115933355e-07,0.00015871271777216178,0.00015871271777216178,0.00015871271777216178,0.00015871271777216178,0.00015871271777216178
haskell,2,0.0008928571428571428,34103,3.2221304433596315e-05,0.5734,0.4309,0.5734,0.8781725888324873,0.26872456548664136
sql,1,0.0004464285714285714,16310233,0.015410285982930795,0.638574826275675,0.638574826275675,0.638574826275675,0.638574826275675,0.638574826275675
j,1,0.0004464285714285714,3090,2.9195035832569747e-06,0.00012097903280669477,0.00012097903280669477,0.00012097903280669477,0.00012097903280669477,0.00012097903280669477
lua,6,0.0026785714285714286,3306878,0.00312441494187497,0.5412,0.3792,0.54,1.0,0.01499940747261677
powershell,4,0.0017857142857142857,10600,1.0015125560687356e-05,0.0135,0.0128,0.0141,0.025750950763661507,6.014997001303934e-05
vcl,1,0.0004464285714285714,366,3.458052787935446e-07,0.011951800933938543,0.011951800933938543,0.011951800933938543,0.011951800933938543,0.011951800933938543
pure data,1,0.0004464285714285714,964,9.108095321228878e-07,0.007296562895009726,0.007296562895009726,0.007296562895009726,0.007296562895009726,0.007296562895009726
fancy,1,0.0004464285714285714,497730,0.0004702668344642375,0.8312707304119528,0.8312707304119528,0.8312707304119528,0.8312707304119528,0.8312707304119528
coldfusion,1,0.0004464285714285714,3142662,0.0029692598608302687,0.20056814820331795,0.20056814820331795,0.20056814820331795,0.20056814820331795,0.20056814820331795
mirah,1,0.0004464285714285714,168,1.5873029190523358e-07,0.012155415671803777,0.012155415671803777,0.012155415671803777,0.012155415671803777,0.012155415671803777
cycript,1,0.0004464285714285714,27482,2.5965630250831124e-05,0.2657114127702363,0.2657114127702363,0.2657114127702363,0.2657114127702363,0.2657114127702363
arduino,1,0.0004464285714285714,16092,1.5204094388922729e-05,0.004232048377688489,0.004232048377688489,0.004232048377688489,0.004232048377688489,0.004232048377688489
gosu,1,0.0004464285714285714,92948,8.781942364290268e-05,0.7562527460010089,0.7562527460010089,0.7562527460010089,0.7562527460010089,0.7562527460010089
rebol,1,0.0004464285714285714,8484,8.015879741214295e-06,0.024202037375659322,0.024202037375659322,0.024202037375659322,0.024202037375659322,0.024202037375659322
