language_count,project_count,distribution
6,37,0.037
1,261,0.261
3,199,0.199
5,77,0.077
4,141,0.141
9,12,0.012
2,203,0.203
14,4,0.004
7,21,0.021
13,6,0.006
15,2,0.002
8,14,0.014
59,1,0.001
17,2,0.002
11,7,0.007
10,8,0.008
12,2,0.002
80,1,0.001
16,1,0.001
19,1,0.001
