id,language_dictionary,total_bytes_written,language_distribution,all_languages,main_language,languages_used,language_combinations,owner_type,open_issues,stars,watchers,forks,size,topics,description
26500787,"{'clojure': 13163, 'shell': 7602, 'python': 6617, 'html': 3621, 'css': 1166, 'purebasic': 596}",32765,"{'clojure': 0.40173966122386695, 'shell': 0.23201587059362125, 'python': 0.20195330383030674, 'html': 0.11051426827407294, 'css': 0.035586754158400735, 'purebasic': 0.01819014191973142}","['clojure', 'shell', 'python', 'html', 'css', 'purebasic']",clojure,6,['html python shell'],User,222,43934,718,1590,63617,"['font', 'ligatures', 'programming-ligatures']",monospaced font with programming ligatures
81975372,{'java': 674404},674404,{'java': 1.0},['java'],java,1,[],User,67,41615,2341,8735,22793,"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",everything you need to know to get the job
3065454,"{'javascript': 365137, 'html': 22374, 'css': 22001}",409512,"{'javascript': 0.8916393170407705, 'html': 0.054635761589403975, 'css': 0.05372492136982555}","['javascript', 'html', 'css']",javascript,3,['css html'],Organization,56,35501,1322,6858,4202,[],it s a presentation framework based on the power of css transforms and transitions in modern browsers and inspired by the idea behind prezi com
29268051,"{'html': 291550, 'css': 273085, 'javascript': 231754}",796389,"{'html': 0.3660899384597226, 'css': 0.3429040330793117, 'javascript': 0.2910060284609657}","['html', 'css', 'javascript']",html,3,['css javascript'],Organization,366,31533,1300,5321,56807,"['material', 'material-components', 'material-design', 'material-design-lite', 'mdl']",material design components in html and css and js
58836534,"{'javascript': 90874, 'css': 14305, 'html': 1286, 'java': 1144, 'c++': 973}",108582,"{'javascript': 0.8369158792433369, 'css': 0.13174375126632407, 'html': 0.011843583651065553, 'java': 0.010535816249470446, 'c++': 0.008960969589803098}","['javascript', 'css', 'html', 'java', 'c++']",javascript,5,['html java'],Organization,12,28295,1061,4538,20709,"['algorithm', 'animation', 'data-structure', 'visualization']",fireworks interactive online platform that visualizes algorithms from code
42751014,{'javascript': 23295},23295,{'javascript': 1.0},['javascript'],javascript,1,[],User,74,27904,444,3398,1773,['clipboard'],scissors modern copy to clipboard no flash just kb gzipped clipboard
75830968,"{'tex': 1720830, 'python': 3401, 'shell': 698, 'makefile': 259}",1725188,"{'tex': 0.9974738984968595, 'python': 0.001971379351119994, 'shell': 0.00040459358632218635, 'makefile': 0.00015012856569834708}","['tex', 'python', 'shell', 'makefile']",tex,4,['makefile python shell'],Organization,46,27730,2226,8092,8908,[],deep learning book chinese translation
1844251,"{'javascript': 140917, 'html': 27183, 'css': 5664, 'shell': 1552}",175316,"{'javascript': 0.8037885874649204, 'html': 0.1550514499532273, 'css': 0.03230737639462456, 'shell': 0.008852586187227635}","['javascript', 'html', 'css', 'shell']",javascript,4,['css html shell'],Organization,157,26182,1191,13683,72844,[],helping you select an mv framework todo apps for react ember and many more
63266213,{'shell': 928},928,{'shell': 1.0},['shell'],shell,1,[],Organization,123,25570,1085,2430,6545,[],amazon web services a practical guide
70905478,{'python': 4577},4577,{'python': 1.0},['python'],python,1,[],User,75,25423,2169,5810,3626,['deep-learning'],deep learning papers reading roadmap for anyone who are eager to learn this amazing tech
25315643,"{'javascript': 3304557, 'coffeescript': 1327058, 'html': 1257645, 'css': 358951, 'shell': 16516, 'python': 2360, 'visual basic': 334, 'php': 328, 'batchfile': 182}",6267931,"{'javascript': 0.5272165567872397, 'coffeescript': 0.21172185845696131, 'html': 0.20064755020436567, 'css': 0.05726786079808473, 'shell': 0.0026350002895692373, 'python': 0.0003765197798125091, 'visual basic': 5.328712138024493e-05, 'php': 5.23298677027555e-05, 'batchfile': 2.9036694883846042e-05}","['javascript', 'coffeescript', 'html', 'css', 'shell', 'python', 'visual basic', 'php', 'batchfile']",javascript,9,['html python shell'],Organization,1041,24479,468,1402,87026,"['babel', 'electron', 'email', 'flux', 'linux', 'macos', 'nylas-mail', 'productivity', 'react', 'windows']",an extensible desktop mail app built on the modern web forks welcome
137147386,{'shell': 6805},6805,{'shell': 1.0},['shell'],shell,1,[],User,31,23831,668,1960,227,"['bash', 'bible', 'book', 'guide', 'handbook', 'how-to', 'learning', 'list', 'reference', 'script', 'shell-scripts']",a collection of pure bash alternatives to external processes
122692377,"{'css': 160321, 'html': 120543}",280864,"{'css': 0.5708136322205765, 'html': 0.4291863677794235}","['css', 'html']",css,2,[],User,107,23549,1327,5046,815061,"['hangzhou', 'knowledge']",    sharing the knowledge of buy an own house that according to the experience at hangzhou in  to all the people it s not easy to buy a own so i hope that it would be useful to everyone
481366,{'shell': 6641},6641,{'shell': 1.0},['shell'],shell,1,[],User,307,23433,613,2443,5251,[],git extensions to provide high level repository operations for vincent driessen s branching model
11620669,"{'c#': 1074112, 'css': 85875, 'html': 23520}",1183507,"{'c#': 0.9075670866332012, 'css': 0.07255977362195576, 'html': 0.01987313974484308}","['c#', 'css', 'html']",c#,3,['css html'],Organization,215,22609,6690,595,75624,"['c-sharp', 'codehub', 'github', 'reactiveui']",codehub is an ios application written using xamarin
15585444,"{'css': 285455, 'html': 19604, 'javascript': 2096}",307155,"{'css': 0.9293516302843841, 'html': 0.06382445345184028, 'javascript': 0.006823916263775618}","['css', 'html', 'javascript']",css,3,['html javascript'],User,29,22331,864,4859,962,"['css-effects', 'sass']",a collection of css powered hover effects to be applied to featured images and so on easily apply to your own modify or just use for inspiration available in and less
18280236,{'javascript': 380713},380713,{'javascript': 1.0},['javascript'],javascript,1,[],Organization,1007,21919,735,3215,8632,[],modern documentation format and toolchain using git and markdown
23736449,{'javascript': 43009},43009,{'javascript': 1.0},['javascript'],javascript,1,[],User,292,20866,554,3606,158,[],a lightweight javascript library for creating particles
