cluster,repo_id,subjects,topics,combinations
1,3065454,"['presentation', 'framework', 'transforms', 'modern', 'browser', 'prezi']","['presentation', 'framework', 'transforms', 'modern', 'browser', 'prezi']",['css html']
36,29268051,"['material', 'design', 'component']","['material', 'design', 'component']",['css javascript']
1,58836534,"['firework', 'interactive', 'online', 'platform', 'visualizes', 'algorithm']","['firework', 'interactive', 'online', 'platform', 'visualizes', 'algorithm']",['html java']
13,75830968,"['learning', 'chinese', 'translation']","['learning', 'chinese', 'translation']",['makefile python shell']
24,1844251,['framework'],['framework'],['css html shell']
13,25315643,"['extensible', 'desktop', 'modern']","['extensible', 'desktop', 'modern']",['html python shell']
43,11620669,['application'],['application'],['css html']
41,15585444,['modify'],['modify'],['html javascript']
4,28751632,"['linux', 'kernel']","['linux', 'kernel']",['dockerfile shell']
19,72907253,"['spring', 'example', 'spring']","['spring', 'example', 'spring']",['css dockerfile html']
42,9603240,"['responsive', 'module', 'project']","['responsive', 'module', 'project']",['css javascript']
45,24635156,"['beautiful', 'replacement']","['beautiful', 'replacement']",['css html javascript']
38,12244426,['progress'],['progress'],['css html']
39,32665718,"['terminal', 'emulator', 'century']","['terminal', 'emulator', 'century']",['dockerfile html']
14,1580851,"['image', 'gallery']","['image', 'gallery']",['css html']
3,18347476,"['google', 'android']","['google', 'android']",['java shell']
1,18511024,"['starter', 'multi', 'device', 'website']","['starter', 'multi', 'device', 'website']",['css javascript']
14,133251103,"['docker', 'image']","['docker', 'image']",['makefile shell']
1,29749635,"['science', 'notebook', 'learning', 'scikit', 'hadoop', 'various', 'command']","['science', 'notebook', 'learning', 'scikit', 'hadoop', 'various', 'command']",['dockerfile makefile']
39,3428345,"['click', 'delay', 'touch']","['click', 'delay', 'touch']",['javascript makefile']
6,51728141,"['mobile', 'component']","['mobile', 'component']",['css html javascript shell']
16,18611173,['animation'],['animation'],['css html']
1,24186761,"['pleasant', 'android', 'application', 'development']","['pleasant', 'android', 'application', 'development']",['html java']
1,6256729,"['frontend', 'knowledge', 'structure']","['frontend', 'knowledge', 'structure']",['css html makefile']
1,21234201,"['motion', 'graphic', 'toolbelt']","['motion', 'graphic', 'toolbelt']",['css html']
23,69953445,['mybatis'],['mybatis'],['css html javascript shell']
1,6094683,"['project', 'status', 'native', 'angularjs', 'angular', 'directive', 'footprint', 'party', 'dependency', 'bootstrap', 'readme']","['project', 'status', 'native', 'angularjs', 'angular', 'directive', 'footprint', 'party', 'dependency', 'bootstrap', 'readme']",['css html']
8,8538132,"['design', 'framework', 'functional', 'framework']","['design', 'framework', 'functional', 'framework']",['html javascript']
6,5448530,"['mobile', 'component']","['mobile', 'component']",['html javascript']
42,619849,"['ultimate', 'distribution']","['ultimate', 'distribution']",['batchfile shell']
1,1381283,"['precision', 'color', 'multiple', 'application', 'light']","['precision', 'color', 'multiple', 'application', 'light']",['html python shell']
18,103645588,"['admin', 'management', 'system', 'template']","['admin', 'management', 'system', 'template']",['css html javascript']
4,17066884,"['powerful', 'spider', 'crawler', 'system']","['powerful', 'spider', 'crawler', 'system']",['dockerfile html javascript']
23,45147841,"['bundle', 'optimizer']","['bundle', 'optimizer']",['css html shell']
39,28513398,"['simplify', 'animation']","['simplify', 'animation']",['objective-c ruby']
43,40808571,['application'],['application'],['html javascript makefile']
1,22607013,"['modular', 'front', 'framework']","['modular', 'front', 'framework']",['css html']
1,21265042,"['smooth', 'asynchronous', 'interface']","['smooth', 'asynchronous', 'interface']",['ruby shell']
4,51994692,['zhongyi'],['zhongyi'],['css html shell']
15,108395495,"['modern', 'chart', 'dependency']","['modern', 'chart', 'dependency']",['css makefile']
12,37829238,['source'],['source'],['makefile python']
13,70202506,"['dependency', 'management']","['dependency', 'management']",['css makefile shell']
31,42586612,"['neural', 'network']","['neural', 'network']",['makefile python shell']
7,743723,"['cross', 'browser', 'storage']","['cross', 'browser', 'storage']",['makefile shell']
32,2336578,['official'],['official'],['css html javascript shell']
1,25095239,"['performance', 'friendly', 'loader', 'image', 'responsive', 'normal', 'iframes', 'visibility', 'change']","['performance', 'friendly', 'loader', 'image', 'responsive', 'normal', 'iframes', 'visibility', 'change']",['css html']
23,5344375,"['graphical', 'editor']","['graphical', 'editor']",['html makefile shell']
19,131789494,"['spring', 'spring', 'shiro', 'spring', 'cloud', 'spring', 'security', 'spring', 'security', 'oauth', 'spring']","['spring', 'spring', 'shiro', 'spring', 'cloud', 'spring', 'security', 'spring', 'security', 'oauth', 'spring']",['css html javascript']
34,1365679,['github'],['github'],['python shell']
23,189890377,['mongo'],['mongo'],['dockerfile html javascript']
47,501326,"['module', 'loader']","['module', 'loader']",['html shell']
7,65866559,['fljsbook'],['fljsbook'],['css html']
13,99234994,"['design', 'block', 'clean', 'modern', 'website']","['design', 'block', 'clean', 'modern', 'website']",['css javascript']
1,71576450,"['perceptual', 'encoder']","['perceptual', 'encoder']",['makefile python shell']
1,93354260,"['style', 'paint']","['style', 'paint']",['css html python']
19,81057842,"['spring', 'spring', 'openwrite']","['spring', 'spring', 'openwrite']",['css html']
13,198770415,"['source', 'world']","['source', 'world']",['html python']
4,3744545,"['twitter', 'bootstrap']","['twitter', 'bootstrap']",['css html']
42,17575535,"['simple', 'responsive', 'chart']","['simple', 'responsive', 'chart']",['css html']
