language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,419,0.22310969116080936,141021066,0.12147088476922518,0.6959,0.4026,0.987,1.0,5.228947814495708e-06
java,97,0.0516506922257721,97797470,0.0842395079405495,0.6984,0.4041,0.9906,1.0,5.4064641066929924e-05
clojure,21,0.011182108626198083,1254474,0.0010805624366787086,0.7235,0.417,0.967,1.0,0.0005079476150041613
ruby,208,0.11075612353567625,13770204,0.011861198548397895,0.6308,0.4298,0.9693,1.0,1.1130232577669998e-05
python,159,0.08466453674121406,59995890,0.051678476468310836,0.5909,0.4369,0.8511,1.0,3.170006261740764e-05
shell,171,0.09105431309904154,6311136,0.005436203934374661,0.1078,0.2699,0.0037,1.0,3.867568648134889e-06
php,65,0.03461128860489883,82756821,0.07128399006399792,0.6502,0.4068,0.8907,1.0,0.00014707795642377808
objective-c,198,0.10543130990415335,56760097,0.04889127133797899,0.7597,0.3757,0.9974,1.0,3.857994047342126e-05
c,153,0.08146964856230032,501759075,0.4321986814454942,0.3405,0.3688,0.1664,1.0,7.996289721569192e-05
c++,85,0.045260915867944625,120745285,0.10400599723634378,0.4084,0.3647,0.3465,1.0,7.906633583913677e-05
perl,53,0.028221512247071354,4639384,0.00399621202171445,0.1972,0.3442,0.0214,1.0,3.599087705964585e-05
coffeescript,36,0.019169329073482427,1332117,0.0011474415503718142,0.3513,0.3675,0.1637,1.0,0.0015128593040847202
erlang,7,0.003727369542066028,1498083,0.0012903991767282143,0.75,0.3568,0.9161,1.0,0.0026412781366690055
racket,7,0.003727369542066028,48470,4.1750455813206974e-05,0.0012,0.0012,0.0011,0.0032604490077099476,2.0482105646700926e-05
nu,1,0.0005324813631522897,46467,4.002513782282419e-05,0.3718996358397695,0.3718996358397695,0.3718996358397695,0.3718996358397695,0.3718996358397695
makefile,1,0.0005324813631522897,197128,0.0001697995430894546,0.5532128654937938,0.5532128654937938,0.5532128654937938,0.5532128654937938,0.5532128654937938
emacs lisp,8,0.004259850905218318,3280180,0.002825438624909537,0.3396,0.4692,0.0163,1.0,0.0002211356502623259
vim script,11,0.005857294994675187,232535,0.0002002979625030758,0.5932,0.4575,0.7753,1.0,4.140984388452183e-06
rust,6,0.003194888178913738,84597,7.286905942706561e-05,0.0067,0.0132,0.0006,0.0333667309880758,0.0001370122767108515
assembly,16,0.008519701810436636,10450892,0.009002052912205452,0.032,0.0351,0.0235,0.09298187788784922,1.4407639907430526e-05
r,7,0.003727369542066028,58328,5.024181115479134e-05,0.5062,0.4846,0.6274,1.0,3.2115415627631456e-06
c#,24,0.012779552715654952,38241539,0.0329399976118946,0.6347,0.4551,0.9732,1.0,0.0002772789118954891
asp,7,0.003727369542066028,213602,0.00018398970213766527,0.0186,0.0235,0.0067,0.06380233225004779,1.9887398043325556e-05
visual basic,5,0.0026624068157614484,77990,6.717800802294227e-05,0.0119,0.0212,0.0022,0.049534302062619,1.5712004767041845e-05
scheme,2,0.0010649627263045794,265638,0.00022881179247593718,0.2375,0.29,0.2375,0.4425313579603125,0.03242355032725473
haskell,7,0.003727369542066028,349245,0.0003008280986276763,0.3833,0.4504,0.1176,0.9566622256407439,1.1182071237399401e-05
prolog,6,0.003194888178913738,219776,0.00018930778165470138,0.0021,0.0024,0.0014,0.0058801812022841625,9.097283425407805e-06
actionscript,16,0.008519701810436636,7468545,0.006433157788558859,0.549,0.4286,0.6253,1.0,0.0030271180468737914
go,7,0.003727369542066028,196088,0.0001689037214668894,0.7233,0.4647,1.0,1.0,0.004974884855487619
scala,17,0.009052183173588925,2741659,0.0023615744364427734,0.7688,0.3835,0.9806,1.0,0.004662897636694544
d,5,0.0026624068157614484,18301,1.57638764563132e-05,0.0018,0.0037,0.0002,0.00849849621059582,2.1384437095502188e-05
scilab,2,0.0010649627263045794,40097,3.453823038461234e-05,0.0004,0.0005,0.0004,0.0007749130095974314,7.022865036651746e-05
lua,9,0.004792332268370607,1371773,0.0011815999179337813,0.1891,0.3218,0.0533,1.0,0.00209953321093022
powershell,3,0.001597444089456869,601207,0.0005178598367668811,0.027,0.0333,0.0124,0.06510915856275525,0.003452859270548301
matlab,3,0.001597444089456869,383613,0.0003304315577856771,0.5237,0.4828,0.6178,0.9524832062006031,0.000821196832171008
dcpu-16 asm,2,0.0010649627263045794,25400,2.1878720397265468e-05,0.8709,0.1826,0.8709,1.0,0.7418257992045904
