language_count,project_count,distribution
1,557,0.557
2,233,0.233
3,112,0.112
4,47,0.047
5,18,0.018
8,7,0.007
6,13,0.013
9,5,0.005
7,3,0.003
27,1,0.001
24,1,0.001
16,1,0.001
11,1,0.001
14,1,0.001
