id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
99127696,380006,988,11,318,8563,"{'c++': 8700, 'html': 18822, 'javascript': 47350, 'python': 1065, 'shell': 11363, 'typescript': 3469230}",Organization,https://api.github.com/repos/tensorflow/tfjs-core,2019-08-14T01:44:14Z,"['deep-learning', 'deep-neural-networks', 'gpu-acceleration', 'machine-learning', 'neural-network', 'webgl']",webgl accelerated ml and and linear algebra and and automatic differentiation for javascript
44111975,50083,612,85,172,8555,"{'css': 50682, 'javascript': 139039, 'typescript': 11253}",User,https://api.github.com/repos/luin/medis,2019-12-02T10:58:01Z,"['electron', 'gui', 'mac', 'redis']",medis is a easy to use mac database management application for redis
48356217,3763,535,49,191,8553,{'javascript': 382540},Organization,https://api.github.com/repos/haltu/muuri,2019-11-14T12:03:52Z,"['bin-packing', 'drag-and-drop', 'filter', 'grid', 'layout', 'sorting']",filterable and draggable grid layouts
13753838,1416,884,115,267,8550,"{'coffeescript': 16610, 'css': 212624, 'html': 1906, 'javascript': 37313}",Organization,https://api.github.com/repos/HubSpot/offline,2019-10-11T04:40:16Z,[],automatically display online and offline indication to your users
8936633,1748,810,14,311,8529,{'javascript': 1107},User,https://api.github.com/repos/maxogden/art-of-node,2019-12-29T23:08:31Z,[],snowflake a short introduction to node js
16096681,6664,825,446,364,8504,"{'css': 94869, 'html': 74741, 'javascript': 840001}",Organization,https://api.github.com/repos/Laverna/laverna,2019-10-23T03:18:11Z,"['laverna', 'note-taking', 'peer-to-peer', 'socket-io', 'webrtc', 'websocket']",laverna is a javascript note taking application with markdown editor and encryption support consider it like open source alternative to evernote
15328210,1523,1085,88,222,8493,{'java': 69334},User,https://api.github.com/repos/chrisjenx/Calligraphy,2019-06-18T10:41:44Z,[],custom fonts in android the easy way
13677187,2624,2354,276,661,8470,"{'c': 772295, 'c++': 6206, 'cmake': 61505, 'lua': 347938}",Organization,https://api.github.com/repos/torch/torch7,2019-04-17T21:12:08Z,[],http and and torch ch
29012058,26443,1292,35,199,8466,"{'java': 74854, 'kotlin': 8355}",User,https://api.github.com/repos/wasabeef/glide-transformations,2019-11-03T22:42:59Z,"['android', 'android-library', 'glide', 'image-processing']",an android transformation library providing a variety of image transformations for glide
34798315,6462,494,24,183,8458,"{'css': 7068, 'html': 634, 'javascript': 281563}",User,https://api.github.com/repos/olistic/warriorjs,2019-11-27T13:53:44Z,"['ai', 'artificial-intelligence', 'battle', 'epic', 'game', 'js', 'learn', 'nodejs', 'sharpen', 'skills', 'test', 'warrior', 'warriorjs']",an exciting game of programming and artificial intelligence
