id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
446949,5461,121,17,37,1807,{'javascript': 105872},User,https://api.github.com/repos/tobytailor/gordon,2011-10-21T11:54:40Z,[],an open source flash runtime written in pure javascript
745998,3042,262,11,72,1796,{'javascript': 6957},Organization,https://api.github.com/repos/visionmedia/masteringnode,2011-07-30T20:19:09Z,[],open source ebook for nodejs written w and outputs to various formats etc
1882017,763,196,15,90,1690,{'javascript': 120643},User,https://api.github.com/repos/worrydream/Tangle,2011-11-24T04:25:39Z,[],a javascript library for reactive documents
1209304,12098,295,6,65,1558,"{'c': 97193, 'objective-c': 486541, 'shell': 3579}",User,https://api.github.com/repos/ericjohnson/canabalt-ios,2011-08-20T03:32:45Z,[],open source release of canabalt for ios
1021622,309,136,55,47,1471,{'javascript': 227800},User,https://api.github.com/repos/akdubya/dustjs,2011-10-22T21:02:21Z,[],asynchronous templates for the browser and node js
280943,1157,76,35,26,1288,{'ruby': 46803},User,https://api.github.com/repos/mynyml/watchr,2011-10-15T01:23:48Z,[],modern continuous testing flexible alternative to autotest
886709,1312,90,39,36,1282,"{'coffeescript': 32647, 'javascript': 18013, 'shell': 126}",User,https://api.github.com/repos/mauricemach/coffeekup,2011-10-26T01:50:57Z,[],markup as coffeescript
982541,1429,214,9,55,1072,"{'javascript': 350240, 'ruby': 20178}",User,https://api.github.com/repos/maccman/holla,2011-07-22T19:54:48Z,[],holla rich javascript application
270226,425,135,18,17,1055,"{'javascript': 1679, 'ruby': 23631, 'shell': 2297}",User,https://api.github.com/repos/defunkt/cijoe,2011-10-01T22:56:55Z,[],ci joe is a fun continuous integration server unmaintained
2264200,1293,439,2,86,1046,{'java': 44454},User,https://api.github.com/repos/JakeWharton/Android-DirectionalViewPager,2011-10-26T04:53:24Z,[],deprecated implementation of the compatibility library viewpager class that supports paging both vertically and horizontally
179,2337,160,31,14,908,"{'javascript': 25082, 'ruby': 111970}",User,https://api.github.com/repos/drnic/ruby-on-rails-tmbundle,2011-10-03T12:43:32Z,[],ruby on rails textmate bundle learn it with peepcode http and and peepcode com and products and textmate for rails 
135376,9236,270,39,37,897,"{'javascript': 1129, 'ruby': 240429}",User,https://api.github.com/repos/peritor/webistrano,2011-08-10T05:27:45Z,[],webistrano is a web ui for managing capistrano deployments
606710,1394,195,13,46,878,{'javascript': 32622},User,https://api.github.com/repos/ThisIsMissEm/node-websocket-server,2011-09-17T11:26:28Z,[],deprecated a websocket server written in low level node should be   spec compatible
733718,6374,438,54,128,872,"{'assembly': 70834, 'c': 17347074, 'c++': 55601, 'java': 58853, 'shell': 2304, 'verilog': 466}",User,https://api.github.com/repos/havlenapetr/FFMpeg,2011-05-31T11:29:46Z,[],this is port of ffmpeg for android this is but in future i will do android lib from it and then system will be able to convert videos automatically
1809895,184,125,17,72,834,{'javascript': 33287},User,https://api.github.com/repos/wjcrowcroft/MotionCAPTCHA,2011-08-22T09:56:03Z,[],motioncaptcha jquery plugin stop draw shapes
