language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
r,88,0.012375193362396288,19332701,0.0006795568693005234,20.46557297127032,0.2326,0.3895,0.0032,1.0,5.087588990470895e-07
tex,130,0.018281535648994516,50290676,0.0017677495936841401,18.347799748105196,0.1411,0.2965,0.0076,1.0,7.355621463345243e-07
elixir,39,0.005484460694698354,12587260,0.0004424502814517075,17.78640733314066,0.4561,0.4564,0.2571,1.0,4.844382507598418e-06
erlang,47,0.0066094782730980175,37336368,0.0013123973390542917,16.405333548521792,0.349,0.4389,0.0301,1.0,3.4092691924861696e-06
dockerfile,873,0.12276754324286317,4023285,0.00014142105435260992,15.76323073982529,0.0181,0.0888,0.0009,0.9427795534834539,6.21816432168665e-07
groovy,147,0.0206721980030938,59264347,0.002083179898580124,12.176270331605885,0.0828,0.219,0.0031,1.0,3.31678328059184e-06
powershell,278,0.03909436084938827,29865036,0.001049775215874255,12.124259914879394,0.0436,0.1709,0.0015,1.0,2.3591222424435776e-06
assembly,220,0.03093798340599072,212505607,0.007469708707631043,11.053455919299543,0.0502,0.1479,0.0049,1.0,3.2428782820264186e-06
cmake,508,0.07143861622837856,57160426,0.002009225722802222,10.334008471482923,0.0203,0.0502,0.0099,0.9938200511250316,4.08991409402179e-06
ocaml,31,0.004359443116298692,110925337,0.003899096910350267,10.213289138883214,0.3295,0.4115,0.0368,0.993410294003257,3.7732979358317154e-06
gherkin,107,0.015047110111095486,7633171,0.0002683108680776445,8.876473983598991,0.083,0.1287,0.0272,0.7697376751913365,5.824508216250355e-07
roff,338,0.04753199268738574,108677060,0.0038200685283647194,8.262321430987793,0.0244,0.0803,0.0034,0.865681678204786,1.3818672464159598e-07
tsql,246,0.03459429053578962,194860378,0.006849467564019977,8.163919466694043,0.0332,0.1198,0.0028,1.0,3.38611645240665e-06
julia,15,0.0021094079594993673,14453598,0.000508053262035569,6.709465059623743,0.4473,0.4975,0.0213,1.0,1.4701160788954735e-06
common lisp,27,0.003796934327098861,37451760,0.0013164534420407458,6.53280218742147,0.242,0.388,0.0041,0.9978322936924093,4.424349342199711e-06
vue,52,0.007312614259597806,9173117,0.00032244096002143774,5.860890042061455,0.1127,0.1671,0.034,0.7175164309379403,4.7075359438297274e-05
f#,35,0.004921951905498523,40500778,0.001423628384979187,5.46942839429269,0.1563,0.3156,0.0036,0.9983353570685427,2.7855553883714934e-06
batchfile,811,0.11404865701026579,5174209,0.00018187677289099914,5.1535007150529095,0.0064,0.046,0.0004,0.9589317773788151,4.1881987277832355e-08
objective-c++,151,0.02123470679229363,19950030,0.0007012563805363524,5.113172038870858,0.0339,0.11,0.0029,0.8491342495535368,4.54303209866402e-06
m4,281,0.039516242441288145,24434483,0.0008588877865776159,5.0709009391069495,0.018,0.0332,0.0077,0.2835510487696771,3.073817926072416e-06
matlab,52,0.007312614259597806,4440404,0.00015608305537180353,4.6477731387050705,0.0894,0.2417,0.0019,1.0,1.0845658571931503e-06
haxe,15,0.0021094079594993673,20800332,0.0007311450425024156,4.172294243586552,0.2782,0.3857,0.0043,0.9997988102733102,3.129247082220365e-06
actionscript,29,0.004078188721698776,16207467,0.0005697028849621968,4.127717048865907,0.1423,0.2652,0.0213,0.9999023744698391,7.931626273278912e-06
rich text format,89,0.012515820559696245,10640469,0.0003740193261939587,3.302940418796445,0.0371,0.1142,0.0025,0.865227470350097,5.212309360694256e-06
d,19,0.0026719167486991984,27658313,0.0009722074837041118,2.8996457339047046,0.1526,0.3492,0.0016,0.9740423522270437,1.8209479270858003e-06
scheme,37,0.005203206300098439,26332232,0.0009255948840058645,2.6354592947450017,0.0712,0.187,0.0023,0.8045210102161887,2.6392811503042965e-06
elm,11,0.001546899170299536,2355812,8.28083063706724e-05,2.4592196651182348,0.2236,0.3259,0.0305,1.0,3.4092691924861696e-06
plpgsql,84,0.011812684573196456,19556578,0.0006874262897828653,2.436548025178539,0.029,0.1029,0.0014,0.6553502607118568,2.7967821205236637e-06
cuda,42,0.005906342286598228,11382459,0.0004001007517253573,2.303489648642924,0.0548,0.0914,0.0178,0.4618826858235253,7.482320619357083e-05
qml,15,0.0021094079594993673,7076252,0.0002487348071798952,2.081605312327428,0.1388,0.2527,0.0121,0.9232765182856197,1.7958788004083375e-05
xslt,158,0.022219097173393335,25039360,0.0008801496020079529,2.060617543168936,0.013,0.0491,0.0016,0.49875938693952837,3.6081962029357465e-06
mathematica,14,0.0019687807621994093,93228156,0.0032770296205388376,1.9178394314576501,0.137,0.2988,0.0033,1.0,1.9471800521232283e-06
pascal,53,0.007453241456897764,7420651,0.00026084065344681004,1.8097163292779903,0.0341,0.133,0.0017,0.8846368246395222,4.005123247817513e-07
hack,65,0.009140767824497258,19795596,0.0006958279261494793,1.6814210611550586,0.0259,0.1269,0.0006,0.9982454407603865,2.5196939277392094e-07
vala,10,0.0014062719729995782,3289318,0.0001156216424292632,1.6813213699429943,0.1681,0.3395,0.0056,0.895559802750998,3.395268086972879e-06
livescript,9,0.0012656447756996202,606577,2.1321571523280868e-05,1.6747757944440826,0.1861,0.319,0.0029,0.9722129080973162,4.023217669243946e-05
dart,17,0.002390662354099283,2165907,7.613302352920519e-05,1.6305919341254609,0.0959,0.2328,0.0356,0.9730364583899992,3.4232702979994595e-06
racket,8,0.0011250175783996624,22570637,0.0007933724013958814,1.5277317101561696,0.191,0.3358,0.009,0.8983072606231776,0.0002306092966050407
perl 6,55,0.00773449585149768,8436078,0.0002965335653230772,1.3920344037792276,0.0253,0.1256,0.0005,0.9258225168937333,1.4066227675708283e-06
vim snippet,19,0.0026719167486991984,2131154,7.491143323621917e-05,1.3349795949969625,0.0703,0.2266,0.0019,0.9895987491517787,1.6539637255428223e-06
smarty,115,0.01617212768949515,8530334,0.00029984672432102535,1.3212405956627447,0.0115,0.0281,0.0012,0.16222884369994298,9.100718583638646e-07
nsis,79,0.011109548586696667,5362681,0.000188501684861179,1.3173558110385546,0.0167,0.0893,0.0016,0.7416609544257189,4.1022916580888114e-05
awk,79,0.011109548586696667,2040053,7.170917451664621e-05,1.2994340699443419,0.0164,0.1116,0.0005,0.9860496021640656,3.0504882109370906e-07
visual basic,11,0.001546899170299536,4089990,0.0001437657779877963,1.2881384889894103,0.1171,0.2982,0.0095,1.0,3.9793789410588045e-06
glsl,100,0.01406271972999578,13552669,0.00047638502847099614,1.2637844213253744,0.0126,0.0373,0.0026,0.30478143619661097,3.5842830114022975e-06
nix,34,0.004781324708198566,38181222,0.0013420945003177916,1.2484434266276945,0.0367,0.1636,0.0009,0.9527071232438726,1.5485222697698988e-05
yacc,105,0.01476585571649557,13271631,0.0004665063620893829,1.2298331206660666,0.0117,0.0225,0.0033,0.12279922517920815,1.4119706874885277e-05
pony,3,0.00042188159189987344,11685472,0.0004107518534848765,1.1665089349056403,0.3888,0.509,0.1995,0.9654109278978981,0.0016158072111167536
yara,8,0.0011250175783996624,688955,2.421721118476627e-05,1.1598331194661202,0.145,0.2928,0.0068,0.8455502172442114,2.515677021902839e-05
tcl,53,0.007453241456897764,10135527,0.0003562702902626449,1.1298411066300018,0.0213,0.0516,0.0007,0.25351632426903076,1.3336991225460104e-06
yasnippet,4,0.0005625087891998312,484723,1.703832508235438e-05,1.097379813982579,0.2743,0.465,0.0638,0.9694231459636886,0.0002990327808689381
digital command language,31,0.004359443116298692,3927411,0.0001380510216144365,1.0469501357006268,0.0338,0.163,0.0004,0.9099212334506452,1.2794745078162975e-05
