combo_id,combination,count,distribution,language_used
173,c m4 php,12,0.0,3
174,c# html javascript,12,0.0,3
175,c++ cmake shell,12,0.0,3
176,c# css javascript,12,0.0,3
177,c# c++,12,0.0,2
178,java javascript objective-c,12,0.0,3
179,css java shell,11,0.0,3
180,css go html javascript,11,0.0,4
181,c++ java python,11,0.0,3
182,c objective-c swift,11,0.0,3
183,java ruby,11,0.0,2
184,python roff,11,0.0,2
185,c m4 makefile shell,11,0.0,4
186,java objective-c,11,0.0,2
187,c html,11,0.0,2
188,groovy html java,11,0.0,3
189,dockerfile javascript,11,0.0,2
190,html php shell,11,0.0,3
191,html java python,11,0.0,3
192,c c++ makefile shell,11,0.0,4
193,c c++ objective-c python,11,0.0,4
194,c c++ html javascript python,10,0.0,5
195,c javascript python,10,0.0,3
196,powershell python,10,0.0,2
197,css html typescript,10,0.0,3
198,javascript objective-c,10,0.0,2
199,python vim script,10,0.0,3
200,css typescript,10,0.0,2
201,c makefile roff shell,10,0.0,4
202,python ruby shell,10,0.0,3
203,coffeescript css html javascript python,10,0.0,5
204,c++ python shell,10,0.0,3
205,dockerfile makefile python shell,10,0.0,4
206,c c++ perl,10,0.0,3
207,css javascript php tsql,10,0.0,4
208,python ruby,10,0.0,2
209,c c++ html,10,0.0,3
210,css dockerfile html javascript ruby,10,0.0,5
211,emacs lisp makefile,10,0.0,3
212,assembly c python,10,0.0,3
213,css html javascript php tsql,10,0.0,5
214,c++ objective-c,10,0.0,2
215,dockerfile ruby shell,10,0.0,3
216,dockerfile go,9,0.0,2
217,css javascript python shell,9,0.0,4
218,coffeescript css html javascript shell,9,0.0,5
219,coffeescript html,9,0.0,2
220,coffeescript css html,9,0.0,3
221,coffeescript ruby,9,0.0,2
222,css python shell,9,0.0,3
223,objective-c ruby shell,9,0.0,3
224,clojure java,9,0.0,2
225,java javascript python,9,0.0,3
226,css groovy html java javascript,9,0.0,5
227,css html javascript python ruby,9,0.0,5
228,html objective-c,9,0.0,2
229,objective-c python,9,0.0,2
230,c m4 shell,9,0.0,3
231,c c#,9,0.0,2
232,javascript php shell,9,0.0,3
233,css hack html javascript php,9,0.0,5
234,dockerfile ruby,9,0.0,2
235,c makefile roff,9,0.0,3
236,c objective-c python,9,0.0,3
237,roff shell,8,0.0,2
238,go python shell,8,0.0,3
239,java kotlin shell,8,0.0,3
240,batchfile makefile python shell,8,0.0,4
241,c go,8,0.0,2
242,c objective-c ruby,8,0.0,3
243,go html shell,8,0.0,3
244,java xslt,8,0.0,2
245,php python,8,0.0,2
