language_count,project_count,distribution
2,254,0.254
1,329,0.329
4,120,0.12
6,23,0.023
7,12,0.012
8,11,0.011
3,184,0.184
19,1,0.001
5,49,0.049
12,3,0.003
17,1,0.001
13,1,0.001
11,6,0.006
22,1,0.001
27,1,0.001
9,2,0.002
10,1,0.001
16,1,0.001
