language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
java,187,0.07140129820542192,49493381,0.05490939266651981,0.8281,0.3312,1.0,1.0,0.0004762291529436098
groovy,15,0.0057273768613974796,3562641,0.003952497276329593,0.1327,0.2589,0.008,0.8875990181260787,0.00010336732969954563
objective-c,151,0.057655593738067966,34057127,0.03778396467876248,0.6461,0.4191,0.9534,1.0,0.00011032110539996483
shell,208,0.07941962581137839,6842106,0.0075908308834256285,0.1125,0.2607,0.0075,1.0,1.5666834437187542e-06
makefile,94,0.03589156166475754,2673481,0.0029660373781189055,0.0286,0.0846,0.0089,0.6520094225140981,9.327160427686315e-05
ruby,157,0.05994654448262696,10303845,0.01143138455382462,0.2314,0.3584,0.0232,1.0,5.112670275763676e-06
css,280,0.10691103474608629,12147746,0.013477061814127134,0.149,0.2182,0.0527,1.0,3.483907891503484e-05
html,306,0.11683848797250859,63623882,0.07058618039665389,0.1678,0.238,0.0666,1.0,5.278218163253766e-05
javascript,426,0.16265750286368844,163857082,0.18178780020561003,0.6572,0.3644,0.8205,1.0,1.4501303788054745e-06
coffeescript,37,0.014127529591447117,5017072,0.0055660852202479745,0.3684,0.3947,0.1582,1.0,0.0012979080775690946
matlab,6,0.002290950744558992,251782,0.00027933425490494763,0.4702,0.4559,0.4084,1.0,0.00020079097717308356
lua,15,0.0057273768613974796,1044889,0.001159230168452772,0.4071,0.3618,0.3047,1.0,0.0001944295415531811
cuda,4,0.0015273004963726614,489644,0.0005432252579957192,0.1438,0.1645,0.092,0.3824859425733465,0.00894801644340122
python,144,0.054982817869415807,74154567,0.08226922782702503,0.5076,0.44,0.561,1.0,3.0602560947492384e-05
m,1,0.00038182512409316535,231,2.5627810122662823e-07,0.0016998292812150468,0.0016998292812150468,0.0016998292812150468,0.0016998292812150468,0.0016998292812150468
clojure,4,0.0015273004963726614,886666,0.0009836929822606474,0.5505,0.5254,0.6002,1.0,0.0015577800330636613
