language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
html,334,0.11731647348085704,155137599,0.10175583506136839,0.161,0.2326,0.0616,1.0,7.270059066633467e-07
javascript,401,0.14085001756234633,148534874,0.09742506160357127,0.6389,0.3715,0.7923,1.0,1.0509074400290396e-05
css,268,0.09413417632595715,15171864,0.00995133159665255,0.1474,0.2347,0.047,1.0,2.8334893888858267e-06
lua,18,0.006322444678609062,1124571,0.000737613975776421,0.4482,0.4656,0.2642,1.0,4.049462341840886e-05
shell,258,0.09062170706006323,5309926,0.0034828175614866363,0.0843,0.2355,0.0051,1.0,2.8020121053439258e-05
typescript,21,0.007376185458377239,4882306,0.0032023386158962614,0.5033,0.3695,0.4721,1.0,0.0021867955914066256
python,189,0.06638566912539515,33075368,0.021694364954056446,0.5052,0.4387,0.4777,1.0,1.9221132585780643e-05
php,55,0.01931858096241658,96296752,0.06316171241929235,0.5434,0.4666,0.7902,1.0,2.0836550664041175e-05
objective-c,121,0.042500878117316475,95110921,0.06238391758151961,0.6684,0.3953,0.8932,1.0,4.191544896241933e-05
swift,36,0.012644889357218124,2838108,0.001861534865795816,0.6275,0.4122,0.9053,1.0,0.0007019225568552838
ruby,154,0.05409202669476642,6712091,0.004402507381288627,0.2009,0.3494,0.0251,1.0,3.5831005399836373e-06
go,56,0.01966982788900597,20723100,0.013592426073064616,0.8116,0.2998,0.9651,1.0,0.0017400352631731075
makefile,122,0.04285212504390586,1925259,0.0012627908290266567,0.021,0.0916,0.0055,1.0,1.987267679687104e-05
java,176,0.061819459079733054,113639513,0.0745369505253348,0.8016,0.3469,1.0,1.0,0.0026646162991296705
coffeescript,31,0.010888654724271163,1070284,0.0007020067531973446,0.3036,0.3432,0.1832,1.0,4.250316117261221e-05
c++,79,0.027748507200561996,134025181,0.0879080525921124,0.4002,0.3853,0.2686,1.0,6.530914355221874e-05
cmake,25,0.008781173164734809,612831,0.0004019601344770938,0.0567,0.118,0.0113,0.4974567910725039,9.029309810964419e-05
emacs lisp,6,0.002107481559536354,648138,0.0004251182424513685,0.5113,0.4875,0.5549,0.9886688477198959,0.00024329775324757023
vim script,11,0.003863716192483316,584329,0.0003832654735463215,0.4803,0.4913,0.2162,1.0,9.86833877658369e-05
c,88,0.030909729539866527,381776921,0.2504101497891112,0.2524,0.3429,0.0392,1.0,0.00013552222434447264
batchfile,28,0.009834913944502985,136269,8.937978915077581e-05,0.0042,0.0088,0.0003,0.03599622663453275,1.191002693965549e-05
m4,6,0.002107481559536354,505766,0.00033173545296165147,0.0119,0.0164,0.0029,0.038917904925443024,0.00017334722251202597
dockerfile,26,0.0091324200913242,27667,1.8146978596999423e-05,0.0543,0.2034,0.0017,1.0,3.0331020435051097e-05
hack,3,0.001053740779768177,53457,3.506281978023632e-05,0.0048,0.0067,0.001,0.01257419223041141,0.0008877768156401691
thrift,6,0.002107481559536354,44533,2.9209505832225228e-05,0.0058,0.0067,0.0028,0.015689887700463354,9.455390945395625e-05
ocaml,3,0.001053740779768177,3939,2.5836176200376164e-06,0.0021,0.0033,0.0004,0.005911910844117564,5.564883652957339e-05
vue,13,0.0045662100456621,644774,0.0004229117713485997,0.2494,0.2795,0.1907,0.9142910684113447,0.0004049080218918665
c#,25,0.008781173164734809,40046413,0.02626672207314127,0.6882,0.3904,0.9484,1.0,0.0013713509714371815
tex,6,0.002107481559536354,44516,2.9198355413453802e-05,0.2884,0.4017,0.1038,1.0,0.0011171265450775007
