language_count,project_count,distribution
3,205,0.205
1,321,0.321
2,212,0.212
5,52,0.052
6,36,0.036
4,107,0.107
7,21,0.021
16,1,0.001
8,17,0.017
10,6,0.006
9,11,0.011
36,1,0.001
18,1,0.001
15,1,0.001
11,2,0.002
13,3,0.003
12,1,0.001
19,1,0.001
24,1,0.001
