language_count,project_count,distribution
2,274,0.274
1,592,0.592
4,26,0.026
6,4,0.004
3,78,0.078
9,3,0.003
7,5,0.005
5,9,0.009
13,1,0.001
11,1,0.001
8,2,0.002
10,3,0.003
18,1,0.001
16,1,0.001
