id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
12071584,29267,88,5,24,243,"{'c++': 292, 'objective-c': 1500445, 'python': 7061, 'ruby': 538}",Organization,https://api.github.com/repos/Ink/ThatCloud,2013-09-08T17:17:56Z,[],thatcloud is an open source ios application that allows you to and work with all of the content you have online
520,651,37,5,3,243,{'ruby': 36443},User,https://api.github.com/repos/DocSavage/rails-authorization-plugin,2013-03-29T18:07:36Z,[],this plugin provides a flexible way to add authorization to rails
1710651,91189,44,6,22,242,{'actionscript': 375815},User,https://api.github.com/repos/photonstorm/Flixel-Power-Tools,2013-11-28T02:35:08Z,[],the flixel power tools are a set of plug ins for flixel   and to assist with your game development
9228265,10144,103,0,23,242,"{'assembly': 53145, 'c': 11590568, 'c++': 19711996, 'objective-c': 954076, 'shell': 2628}",User,https://api.github.com/repos/grayj/Jedi-Academy,2013-04-04T21:37:28Z,[],star wars jedi knight jedi academy
11389331,1758,35,7,13,241,{'objective-c': 24616},Organization,https://api.github.com/repos/SureCase/WaterfallCollectionView,2013-11-11T17:16:33Z,[],waterfall style implementation of uicollectionview layout
1210831,2416,50,0,20,241,"{'javascript': 548938, 'perl': 7035, 'php': 613, 'shell': 1449}",User,https://api.github.com/repos/zeljkoprsa/Magento-Boilerplate,2013-05-19T12:29:26Z,[],magento theme package based on html bolierplate by paul irish coupled with csspie by  creative llc
7849940,6358,92,142,38,241,{'java': 1486934},User,https://api.github.com/repos/gggard/AndroidCaldavSyncAdapater,2013-11-20T17:12:38Z,[],caldav synch adapter for android
1450564,41000,146,0,27,241,"{'c': 710162, 'c++': 8309518, 'java': 52902, 'objective-c': 17708, 'python': 31247, 'shell': 3139}",User,https://api.github.com/repos/vigsterkr/libjingle,2013-02-23T10:21:14Z,[],libjingle clone of the original svn with some local patches
8251418,595,24,1,14,241,"{'objective-c': 24626, 'ruby': 1063}",User,https://api.github.com/repos/blork/SJOPaperboy,2013-10-28T00:44:47Z,[],an easy to use library that lets you implement background updates in your app that run whenever the user enters or exits a specified location
2808275,1230,52,1,21,241,{'objective-c': 54307},User,https://api.github.com/repos/gooichi/foursquare-ios-api,2013-11-18T02:02:36Z,[],foursquare api v for ios
2127316,416,50,5,12,241,{'javascript': 48388},User,https://api.github.com/repos/bgaff/vnc.js,2013-07-27T02:43:05Z,[],a javascript vnc client
2422681,10232,33,21,25,240,"{'css': 120813, 'javascript': 670733, 'ruby': 2104}",User,https://api.github.com/repos/jinroh/kadoh,2013-12-08T19:48:45Z,[],the kademlia dht in javascript for node js and browsers
7143131,568,29,5,18,240,"{'javascript': 8487, 'php': 419}",User,https://api.github.com/repos/chengyin/albumcolors,2013-02-19T14:01:00Z,[],a javascript script to create a  color palette based on an image inspired by itunes 
3760843,704,25,1,15,240,"{'c': 97357, 'objective-c': 414427, 'perl': 687}",User,https://api.github.com/repos/ocrickard/OCPDFGen,2013-02-27T00:18:51Z,[],pdf from html generation library for ios
611251,516,19,6,12,240,{'python': 44842},User,https://api.github.com/repos/eyeseast/python-tablefu,2013-09-06T02:28:49Z,[],a python version almost a port of propublica s tablefu
4352575,391,42,1,10,240,{'objective-c': 52410},User,https://api.github.com/repos/cocopon/CQMFloatingController,2013-07-13T04:34:35Z,[],floating ui component with navigation bar for iphone
8691504,143,31,1,5,239,{'python': 3794},User,https://api.github.com/repos/kljensen/async-flask-sqlalchemy-example,2013-03-11T19:43:35Z,[],non blocking gevent gunicorn example
14510206,7611,103,2,26,239,"{'javascript': 30209214, 'php': 261}",Organization,https://api.github.com/repos/tinyspeck/glitch-GameServerJS,2013-12-11T21:58:30Z,[],the server side javascript for glitch that determined all game behavior
6006459,453,10,1,19,239,"{'objective-c': 27956, 'ruby': 1230}",User,https://api.github.com/repos/jnjosh/JJAFAcceleratedDownloadRequestOperation,2013-01-20T04:24:14Z,[],a delightful extension to the delightful afnetworking to provide accelerated and resumable downloads
978894,140,45,2,16,239,"{'javascript': 2223, 'objective-c': 5250}",User,https://api.github.com/repos/ochameau/NativeBridge,2013-02-08T23:47:02Z,[],proper way to call objetive c from javascript in uiwebview
3151061,9591,61,23,163,238,"{'c': 295387, 'c++': 15046, 'd': 15680, 'java': 599564}",Organization,https://api.github.com/repos/couchbaselabs/TouchDB-Android,2013-05-14T22:02:10Z,[],couchdb compatible mobile database android version
3965305,1795,16,4,27,237,"{'php': 487849, 'python': 283501, 'shell': 34}",User,https://api.github.com/repos/runekaagaard/snowscript,2013-12-10T15:05:46Z,[],a language that compiles to php
9394283,154,95,10,24,237,{'java': 155127},User,https://api.github.com/repos/faucamp/SimpleRtmp,2013-04-15T09:33:02Z,[],simplertmp is a simple java library for implementing rtmp with no external dependencies or nio
476414,241,32,0,3,237,"{'javascript': 10824, 'scala': 123}",User,https://api.github.com/repos/felixge/node-paperboy,2013-08-02T16:05:07Z,[],a node js module for delivering static files
7437202,148,14,0,20,237,{'ruby': 8184},User,https://api.github.com/repos/kpshek/mm2pwd,2013-01-08T11:04:14Z,[],mega man  password generator
15218510,287,12,0,13,236,"{'python': 179677, 'shell': 5179}",User,https://api.github.com/repos/voidfiles/lark,2013-12-28T09:20:46Z,[],lark is a resty interface for redis
6525647,331,13,1,20,236,{'javascript': 121887},User,https://api.github.com/repos/jackfranklin/jQuery-Form-Validator,2013-01-01T19:19:57Z,[],got bored of using other so made my own
8742936,536,19,2,18,235,{'java': 27014},User,https://api.github.com/repos/ragunathjawahar/instant-adapter,2013-12-27T05:52:33Z,[],just like instant saves  of your time on android s custom adapters
2296633,33047,129,2,42,235,"{'assembly': 1050, 'c': 3738470, 'c++': 6244, 'objective-c': 4774, 'perl': 6636, 'shell': 20390, 'xml': 5822}",User,https://api.github.com/repos/git-mirror/nginx,2013-04-24T16:00:14Z,[],a mirror of the nginx svn repository
14267587,274,25,1,26,235,{'clojure': 20971},User,https://api.github.com/repos/richhickey/harmonikit,2013-11-27T02:55:34Z,[],an additive synth for clojure and overtone
2601967,2723,76,13,14,234,"{'coffeescript': 10635, 'css': 6085, 'javascript': 46144, 'ruby': 154208}",User,https://api.github.com/repos/assaf/rack-oauth2-server,2013-09-30T17:33:53Z,[],looking for maintainer oauth   authorization server as a rack module
1688824,10063,49,7,30,234,"{'java': 274786, 'ruby': 566}",User,https://api.github.com/repos/ahmetb/orman,2013-11-09T00:58:03Z,[],lightweight and minimalist orm for java and android works with sqlite mysql not actively maintained
182356,175,60,6,13,234,{'python': 28669},User,https://api.github.com/repos/clintecker/python-googleanalytics,2013-06-02T19:38:56Z,[],a python client for accessing the google analytics api
1308593,3504,38,0,14,233,"{'c': 133211, 'objective-c': 987962, 'perl': 2122}",User,https://api.github.com/repos/odrobnik/MyAppSales,2013-01-23T09:49:17Z,[],mobile itc reports downloader and dashboard
7386592,181,205,12,28,232,{'php': 10523},User,https://api.github.com/repos/tlack/snaphax,2013-11-10T20:35:23Z,[],a php library to use the snapchat api
12129587,163,52,15,18,232,"{'css': 61623, 'javascript': 7152}",Organization,https://api.github.com/repos/yearofmoo/ngAnimate-animate.css,2013-12-12T16:46:11Z,[],a driver module to make animate css work with angularjs  
9029995,261,12,9,13,231,{'javascript': 9436},User,https://api.github.com/repos/substack/exterminate,2013-10-03T09:17:14Z,[],terminal emulator application like xterm in node and html
1766977,176,53,15,17,231,{'ruby': 25772},User,https://api.github.com/repos/recurser/jekyll-plugins,2013-08-29T22:56:46Z,[],a collection of jekyll plugins and generators that i ve written for recursive design com
4555319,316,130,4,34,231,"{'erlang': 201447, 'ruby': 3989, 'shell': 12559}",User,https://api.github.com/repos/hpyhacking/openpoker,2013-09-09T05:19:08Z,[],genesis texas hold em game server
4697004,623,26,1,20,231,{'objective-c': 4585},User,https://api.github.com/repos/carsonmcdonald/PushBackAnimation,2013-04-06T13:46:59Z,[],example animation for ios that sends one view into the background as another view slides up
9295345,210,58,13,22,231,{'javascript': 8126},User,https://api.github.com/repos/btford/angular-dragon-drop,2013-07-22T16:46:01Z,[],drag and drop for angularjs
3287703,10046,34,1,22,230,"{'objective-c': 154322, 'python': 1300, 'shell': 9131}",User,https://api.github.com/repos/sorced-jim/SPDY-for-iPhone,2013-08-07T03:55:33Z,[],a project to build a spdy client library for the iphone
11424141,6471,35,4,16,230,"{'objective-c': 19370, 'ruby': 558}",User,https://api.github.com/repos/daria-kopaliani/DARecycledScrollView,2013-08-07T13:50:40Z,[],uiscrollview subclass that reuses its tile views
208859,119,40,1,6,230,{'ruby': 15710},User,https://api.github.com/repos/danlucraft/retwis-rb,2013-07-15T09:53:19Z,[],port of redis example twitter app to ruby and sinatra
6696037,3390,20,4,35,230,"{'clojure': 71177, 'javascript': 2233}",User,https://api.github.com/repos/drcode/webfui,2013-01-30T18:40:04Z,[],client side web framework for clojurescript
868969,5006,75,2,16,230,"{'c': 927982, 'c++': 570145, 'javascript': 48214, 'matlab': 784, 'objective-c': 148105, 'perl': 11940, 'prolog': 2704, 'python': 38702, 'xml': 34918}",User,https://api.github.com/repos/benlodotcom/VRToolKit,2013-04-23T14:52:01Z,[],a complete iphone app doing some virtual reality this app uses artoolkit plus to detect markers on the video frames and then overlays d objects following the movements of this marker the code is released under gpl
3384214,163,11,8,2,229,{'javascript': 55038},User,https://api.github.com/repos/Ejhfast/TypedJS,2013-02-08T04:12:39Z,[],lightweight program specifications for testing javascript
342564,4186,47,19,18,229,{'actionscript': 302903},Organization,https://api.github.com/repos/swiz/swiz-framework,2013-06-19T04:19:12Z,[],swiz framework for as and flex
6016224,306,30,1,14,229,{'objective-c': 48580},User,https://api.github.com/repos/danielamitay/DAModularTableView,2013-05-31T18:27:39Z,[],uitableview subclass that abstracts away the ugliness involved with creating static or modular uitableviews settings and menu pages are a snap to create with damodulartableview
7484767,123,25,0,12,229,{'ruby': 1520},User,https://api.github.com/repos/jpfuentes2/a-letter-to-Augusta,2013-03-25T15:26:36Z,[],a letter to my in ruby
2541616,279,20,7,11,229,{'javascript': 79624},User,https://api.github.com/repos/wookiehangover/underscore.deferred,2013-04-05T18:37:41Z,[],jquery style deferreds for underscore
1219981,206,51,10,19,229,{'javascript': 10956},User,https://api.github.com/repos/jussi-kalliokoski/html5Preloader.js,2013-10-14T20:20:11Z,[],a javascript library to preload all kinds of be it video or with simple syntax
5597755,402,11,3,17,228,{'javascript': 2380},User,https://api.github.com/repos/azoff/node-osx-notifier,2013-12-04T23:12:06Z,[],a nodejs server for sending notifications to osx mountain lion s notification center
15209160,545,59,1,12,228,"{'css': 900, 'javascript': 867977}",User,https://api.github.com/repos/ThomasBurleson/angularjs-FlightDashboard,2013-12-27T14:27:10Z,[],promise chains with angularjs q tutorial
4936825,281,37,2,26,227,{'python': 89883},User,https://api.github.com/repos/Ttl/evolutionary-circuits,2013-01-07T14:37:27Z,[],automatically generates analog circuits using evolutionary algorithms
3793621,229,61,4,31,227,"{'javascript': 107950, 'python': 98034}",User,https://api.github.com/repos/laoqiu/pypress-tornado,2013-07-22T06:48:00Z,['tornado'],pypress rework by tornado
3412695,900,8,5,6,227,{'ruby': 27476},User,https://api.github.com/repos/seamusabshere/unix_utils,2013-07-26T01:36:05Z,[],like but provides etc
10292696,104,11,4,18,227,{'rust': 5802},User,https://api.github.com/repos/pcwalton/zero.rs,2013-10-24T00:35:17Z,[],a module for freestanding rust programs
7502565,144,118,5,18,227,"{'css': 17412, 'javascript': 38798}",User,https://api.github.com/repos/bennadel/AngularJS-Routing,2013-09-06T12:24:36Z,[],an example of how to do deep routing in an angularjs application when ngview is not enough
6054962,784,16,0,8,227,{'coffeescript': 8983},User,https://api.github.com/repos/jotux/fangle,2013-09-18T23:23:19Z,[],fangle creates interactive pages from plain text
11580738,127,12,1,10,226,{'php': 8709},User,https://api.github.com/repos/markwilson/VerbalExpressionsPhp,2013-07-24T16:37:44Z,[],easy regular expression building
8570854,221,7,0,10,226,"{'coffeescript': 568, 'javascript': 6549}",User,https://api.github.com/repos/escusado/console.meme,2013-04-21T21:21:25Z,[],one does not simply log a message
