id,language_dictionary,total_bytes_written,language_distribution,all_languages,main_language,languages_used,language_combinations,owner_type,open_issues,stars,watchers,forks,size,topics,description
446949,{'javascript': 105872},105872,{'javascript': 1.0},['javascript'],javascript,1,[],User,17,1807,37,121,5461,[],an open source flash runtime written in pure javascript
745998,{'javascript': 6957},6957,{'javascript': 1.0},['javascript'],javascript,1,[],Organization,11,1796,72,262,3042,[],open source ebook for nodejs written w and outputs to various formats etc
1882017,{'javascript': 120643},120643,{'javascript': 1.0},['javascript'],javascript,1,[],User,15,1690,90,196,763,[],a javascript library for reactive documents
1209304,"{'objective-c': 486541, 'c': 97193, 'shell': 3579}",587313,"{'objective-c': 0.8284185774876429, 'c': 0.16548756795780104, 'shell': 0.006093854554556089}","['objective-c', 'c', 'shell']",objective-c,3,['c shell'],User,6,1558,65,295,12098,[],open source release of canabalt for ios
1021622,{'javascript': 227800},227800,{'javascript': 1.0},['javascript'],javascript,1,[],User,55,1471,47,136,309,[],asynchronous templates for the browser and node js
280943,{'ruby': 46803},46803,{'ruby': 1.0},['ruby'],ruby,1,[],User,35,1288,26,76,1157,[],modern continuous testing flexible alternative to autotest
886709,"{'coffeescript': 32647, 'javascript': 18013, 'shell': 126}",50786,"{'coffeescript': 0.6428346394675698, 'javascript': 0.35468436183200097, 'shell': 0.0024809987004292522}","['coffeescript', 'javascript', 'shell']",coffeescript,3,['javascript shell'],User,39,1282,36,90,1312,[],markup as coffeescript
982541,"{'javascript': 350240, 'ruby': 20178}",370418,"{'javascript': 0.9455264053042779, 'ruby': 0.05447359469572213}","['javascript', 'ruby']",javascript,2,[],User,9,1072,55,214,1429,[],holla rich javascript application
270226,"{'ruby': 23631, 'shell': 2297, 'javascript': 1679}",27607,"{'ruby': 0.8559785561632919, 'shell': 0.08320353533524107, 'javascript': 0.06081790850146702}","['ruby', 'shell', 'javascript']",ruby,3,['javascript shell'],User,18,1055,17,135,425,[],ci joe is a fun continuous integration server unmaintained
2264200,{'java': 44454},44454,{'java': 1.0},['java'],java,1,[],User,2,1046,86,439,1293,[],deprecated implementation of the compatibility library viewpager class that supports paging both vertically and horizontally
179,"{'ruby': 111970, 'javascript': 25082}",137052,"{'ruby': 0.816989171993112, 'javascript': 0.1830108280068879}","['ruby', 'javascript']",ruby,2,[],User,31,908,14,160,2337,[],ruby on rails textmate bundle learn it with peepcode http and and peepcode com and products and textmate for rails 
135376,"{'ruby': 240429, 'javascript': 1129}",241558,"{'ruby': 0.9953261742521465, 'javascript': 0.004673825747853517}","['ruby', 'javascript']",ruby,2,[],User,39,897,37,270,9236,[],webistrano is a web ui for managing capistrano deployments
606710,{'javascript': 32622},32622,{'javascript': 1.0},['javascript'],javascript,1,[],User,13,878,46,195,1394,[],deprecated a websocket server written in low level node should be   spec compatible
733718,"{'c': 17347074, 'assembly': 70834, 'java': 58853, 'c++': 55601, 'shell': 2304, 'verilog': 466}",17535132,"{'c': 0.9892753587483687, 'assembly': 0.004039547577970899, 'java': 0.0033562906740593683, 'c++': 0.0031708344140209494, 'shell': 0.00013139336504566947, 'verilog': 2.6575220534410577e-05}","['c', 'assembly', 'java', 'c++', 'shell', 'verilog']",c,6,['assembly c++ shell'],User,54,872,128,438,6374,[],this is port of ffmpeg for android this is but in future i will do android lib from it and then system will be able to convert videos automatically
1809895,{'javascript': 33287},33287,{'javascript': 1.0},['javascript'],javascript,1,[],User,17,834,72,125,184,[],motioncaptcha jquery plugin stop draw shapes
280098,{'objective-c': 150749},150749,{'objective-c': 1.0},['objective-c'],objective-c,1,[],User,28,832,18,170,1035,[],coverflow api replacement for the iphone
