language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,378,0.2151394422310757,70857313,0.09744002744552087,0.6967,0.3929,0.9761,1.0,0.0
objective-c,155,0.08821855435401252,31950312,0.0439367391503112,0.7632,0.3361,0.9165,1.0,0.00014419708795375893
c,164,0.093340922026181,251465943,0.34580549769836444,0.3039,0.3398,0.1638,1.0,0.0001310403176873093
shell,144,0.08195788275469551,7801784,0.010728688612338794,0.0905,0.2392,0.0064,1.0,9.411258737142455e-05
ruby,295,0.16789982925441094,30317376,0.04169119353306801,0.754,0.3747,1.0,1.0,0.00011780905485061287
coffeescript,25,0.014228799089356859,245877,0.00033811981592107984,0.3063,0.3753,0.0808,1.0,0.0009183789423662979
java,80,0.045532157085941945,24457770,0.03363330726436433,0.6089,0.4404,0.9444,1.0,2.9914931992432277e-05
assembly,10,0.005691519635742743,14306147,0.01967321786982885,0.1731,0.3348,0.0198,0.9943870287101433,0.0003531957889070183
c++,58,0.033010813887307915,34593081,0.04757096507547678,0.4058,0.3259,0.4333,1.0,0.0001667505723299701
verilog,1,0.0005691519635742744,466,6.408238030365719e-07,2.6575220534410577e-05,2.6575220534410577e-05,2.6575220534410577e-05,2.6575220534410577e-05,2.6575220534410577e-05
perl,33,0.018782014797951052,2619319,0.0036019784612574047,0.188,0.3186,0.0338,1.0,7.548443762192529e-06
haskell,5,0.0028457598178713715,155785,0.00021422904754517672,0.4848,0.3983,0.5717,0.9028072510864884,0.0065915761085111445
d,4,0.0022766078542970974,22897,3.148700132645577e-05,0.0474,0.0751,0.0143,0.1595266489312907,0.0014147975785889953
vim script,13,0.007398975526465566,342882,0.0004715170541476091,0.6123,0.4559,0.843,1.0,8.601137043967996e-05
python,147,0.08366533864541832,20177750,0.027747601913564783,0.6648,0.4304,0.9843,1.0,0.0
matlab,2,0.0011383039271485487,340187,0.00046781100232532683,0.3631,0.511,0.3631,0.7244310965679024,0.0017053337032847417
actionscript,26,0.014797951052931132,108196823,0.14878776736337948,0.7421,0.3811,0.9718,1.0,0.0015386807346048116
php,81,0.04610130904951622,58152633,0.07996908033401298,0.6493,0.4277,0.9784,1.0,5.507148370519021e-05
erlang,16,0.00910643141718839,1197720,0.0016470546896415513,0.6851,0.3345,0.7179,1.0,2.5593263563585972e-05
r,5,0.0028457598178713715,212913,0.00029278909522730825,0.4408,0.5007,0.2474,1.0,0.00025908791669038237
emacs lisp,14,0.00796812749003984,49121270,0.06754952586134393,0.4618,0.4682,0.3239,1.0,0.0002445787639112698
c#,23,0.01309049516220831,13277300,0.018258390300552523,0.6276,0.3586,0.6162,1.0,0.000703295791622741
f#,1,0.0005691519635742744,58,7.975918578566776e-08,5.153636112416798e-05,5.153636112416798e-05,5.153636112416798e-05,5.153636112416798e-05,5.153636112416798e-05
asp,6,0.003414911781445646,171546,0.00023590291870324414,0.0068,0.0065,0.0049,0.01850572935723632,7.233608457757581e-05
clojure,16,0.00910643141718839,2062834,0.0028367234526033127,0.6978,0.4003,0.9971,1.0,0.004106661840758967
lua,9,0.005122367672168469,324811,0.00044666656714187114,0.3099,0.4279,0.0441,1.0,0.0006089786286562506
scala,7,0.00398406374501992,2450730,0.0033701418858708538,0.7075,0.419,0.9823,1.0,0.025023932845897556
groovy,5,0.0028457598178713715,517494,0.0007116362084304888,0.1798,0.3216,0.0453,0.7547708926428969,0.022783791883323433
ioke,1,0.0005691519635742744,2900,3.987959289283387e-06,0.010092643506950003,0.010092643506950003,0.010092643506950003,0.010092643506950003,0.010092643506950003
smalltalk,2,0.0011383039271485487,20184,2.7756196653412375e-05,0.002,0.0023,0.002,0.0036562408974383127,0.00042872887919769416
go,3,0.001707455890722823,230901,0.00031752544408787014,1.0,0.0,1.0,1.0,1.0
forth,1,0.0005691519635742744,63573,8.742294341296993e-05,0.42819904894049815,0.42819904894049815,0.42819904894049815,0.42819904894049815,0.42819904894049815
makefile,2,0.0011383039271485487,251873,0.0003463652655412671,0.0047,0.0046,0.0047,0.007941212129376422,0.0014869241288087188
objective-j,2,0.0011383039271485487,139113,0.0001913024071069241,0.6936,0.4334,0.6936,1.0,0.38714413899991845
ada,1,0.0005691519635742744,89080,0.00012249910809978073,0.005786740050256551,0.005786740050256551,0.005786740050256551,0.005786740050256551,0.005786740050256551
pascal,2,0.0011383039271485487,191739,0.00026367149178203707,0.016,0.019,0.016,0.029421822835240825,0.0026191040115204718
visual basic,2,0.0011383039271485487,50905,7.00024371106796e-05,0.028,0.0386,0.028,0.05536506125207382,0.0007097656240357328
clips,1,0.0005691519635742744,6933,9.533973018138526e-06,0.0004503757158557327,0.0004503757158557327,0.0004503757158557327,0.0004503757158557327,0.0004503757158557327
awk,1,0.0005691519635742744,3275,4.503643680138998e-06,0.00021274779596531439,0.00021274779596531439,0.00021274779596531439,0.00021274779596531439,0.00021274779596531439
mirah,2,0.0011383039271485487,34976,4.8097539345508884e-05,0.6945,0.3603,0.6945,0.9492753623188406,0.43966707267559885
css,1,0.0005691519635742744,3227,4.43763607810948e-06,0.08839158540593843,0.08839158540593843,0.08839158540593843,0.08839158540593843,0.08839158540593843
tcl,2,0.0011383039271485487,154520,0.0002124894722000238,0.3459,0.484,0.3459,0.6881180047378365,0.0036160635356533564
common lisp,1,0.0005691519635742744,55451,7.625390708622521e-05,0.16790460646837424,0.16790460646837424,0.16790460646837424,0.16790460646837424,0.16790460646837424
xquery,1,0.0005691519635742744,849,1.167509460897102e-06,0.0001732012923386887,0.0001732012923386887,0.0001732012923386887,0.0001732012923386887,0.0001732012923386887
prolog,3,0.001707455890722823,78743,0.00010828409597104889,0.0085,0.007,0.0115,0.013419305061861068,0.00045394086525503793
rust,1,0.0005691519635742744,2002,2.753067067981152e-06,3.279829893146189e-05,3.279829893146189e-05,3.279829893146189e-05,3.279829893146189e-05,3.279829893146189e-05
scheme,1,0.0005691519635742744,292307,0.0004019684193008825,0.9993094229579261,0.9993094229579261,0.9993094229579261,0.9993094229579261,0.9993094229579261
component pascal,1,0.0005691519635742744,16660,2.2910138537745253e-05,9.881431540425082e-05,9.881431540425082e-05,9.881431540425082e-05,9.881431540425082e-05,9.881431540425082e-05
fortran,1,0.0005691519635742744,151479,0.00020830761557977872,0.0797577765398544,0.0797577765398544,0.0797577765398544,0.0797577765398544,0.0797577765398544
haxe,2,0.0011383039271485487,7257,9.979524331837773e-06,0.5028,0.7032,0.5028,1.0,0.005536196703339729
