language_count,project_count,distribution
1,573,0.573
3,93,0.093
2,254,0.254
6,8,0.008
4,45,0.045
5,17,0.017
7,4,0.004
13,1,0.001
9,1,0.001
8,1,0.001
11,1,0.001
15,1,0.001
27,1,0.001
