language_count,project_count,distribution
1,481,0.481
3,122,0.122
4,62,0.062
2,262,0.262
9,5,0.005
6,18,0.018
7,11,0.011
12,3,0.003
5,21,0.021
8,4,0.004
15,3,0.003
10,3,0.003
11,2,0.002
21,1,0.001
13,1,0.001
16,1,0.001
