language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
java,199,0.07788649706457926,48240302,0.0680608210263143,0.8782,0.2893,1.0,1.0,4.827581571069639e-05
python,128,0.05009784735812133,21223897,0.029944171062567745,0.4961,0.4396,0.4633,1.0,5.3510626387160085e-06
css,265,0.10371819960861056,18027084,0.025433881772761995,0.1828,0.2481,0.0727,1.0,6.761163874703702e-05
ruby,213,0.08336594911937378,29546008,0.0416855923192614,0.2776,0.3876,0.0401,1.0,2.285248244184073e-05
coffeescript,39,0.015264187866927592,1397001,0.001970987557967239,0.1997,0.2702,0.0726,0.8950985477178424,3.273268088257857e-05
javascript,381,0.149119373776908,156079188,0.22020752855984324,0.6372,0.3693,0.7771,1.0,0.00023803996338226673
html,224,0.08767123287671233,26820647,0.03784046076819655,0.1707,0.2371,0.0712,1.0,5.591580984317065e-05
vala,1,0.0003913894324853229,213346,0.00030100358664172645,0.7583289791246797,0.7583289791246797,0.7583289791246797,0.7583289791246797,0.7583289791246797
cmake,8,0.0031311154598825833,156863,0.00022131338582106596,0.0959,0.1504,0.022,0.42940848214285715,0.00014737462956611203
shell,208,0.08140900195694717,2944649,0.004154518530466816,0.1012,0.2357,0.0081,1.0,1.0408480610875834e-05
apacheconf,11,0.004305283757338552,63848,9.008126236208297e-05,0.0653,0.1842,0.0012,0.614613072310086,7.100551527621917e-05
c#,18,0.0070450097847358124,4981591,0.007028379993916665,0.3905,0.4028,0.2127,1.0,0.00010062208964443712
c,108,0.042270058708414875,66445538,0.09374605220786482,0.2528,0.3258,0.0857,0.9930054078559633,6.911245402581965e-05
c++,86,0.03365949119373777,47335329,0.06678402127935901,0.2907,0.3473,0.1077,1.0,5.785902327539931e-05
objective-c,206,0.08062622309197652,225261323,0.31781456486018217,0.7824,0.3377,0.9667,1.0,0.00022039766739421595
protocol buffer,8,0.0031311154598825833,117535,0.0001658266691474662,0.0796,0.1605,0.0304,0.4732619964553656,3.64097756901965e-05
makefile,88,0.03444227005870842,456512,0.0006440793328442428,0.019,0.0337,0.0048,0.18408169694086488,0.00015283833923172637
go,29,0.011350293542074364,5703997,0.008047601338640742,0.7484,0.3547,0.9588,1.0,0.0008100311379376096
groovy,10,0.003913894324853229,60160,8.487797180339104e-05,0.174,0.2921,0.0775,0.9613022629763607,0.0014814312592165704
xslt,6,0.0023483365949119373,5128994,0.007236346544410934,0.1657,0.3992,0.0007,0.980558282724459,7.415066305938706e-05
nginx,5,0.0019569471624266144,10987,1.5501234644346033e-05,0.0191,0.0394,0.0006,0.08945290468133107,0.00019051169117897411
swift,25,0.009784735812133072,2454135,0.00346246677745537,0.8027,0.3457,0.9901,1.0,0.0019401726338880414
actionscript,10,0.003913894324853229,6696134,0.009447378205514096,0.5951,0.4745,0.8877,1.0,0.0012396829485951447
handlebars,10,0.003913894324853229,257425,0.00036319334926010536,0.0489,0.049,0.0289,0.14436639791513967,0.0035288280184121662
php,44,0.01722113502935421,12176023,0.017178792168740704,0.5133,0.4346,0.5601,1.0,0.00034600342776042425
groff,11,0.004305283757338552,1605808,0.002265587203219078,0.1442,0.2939,0.0129,1.0,0.00012399270396257244
d,4,0.0015655577299412916,541444,0.0007639073897126871,0.2317,0.3877,0.0594,0.8078855419944005,1.3624628718576914e-05
dtrace,1,0.0003913894324853229,15661,2.2095643557395394e-05,0.004115716249208314,0.004115716249208314,0.004115716249208314,0.004115716249208314,0.004115716249208314
batchfile,11,0.004305283757338552,36493,5.1486898687186654e-05,0.0029,0.0057,0.0009,0.01946766712947919,4.593896789358348e-05
r,6,0.0023483365949119373,207256,0.00029241138504128343,0.0525,0.0976,0.0012,0.2442675337781017,2.9557375916258827e-05
bison,2,0.0007827788649706458,253659,0.00035788001079914173,0.0107,0.0019,0.0107,0.011996643793341989,0.00936822884766101
emacs lisp,5,0.0019569471624266144,613992,0.0008662632257896886,0.1974,0.4328,0.0032,0.9715823537424483,0.0003424234822875481
ragel in ruby host,1,0.0003913894324853229,28106,3.965392745189675e-05,0.001156899742490401,0.001156899742490401,0.001156899742490401,0.001156899742490401,0.001156899742490401
matlab,9,0.0035225048923679062,673540,0.0009502777448214095,0.1869,0.3722,0.0007,0.9995482217506129,0.00012085169159438616
awk,5,0.0019569471624266144,4567,6.443445765061284e-06,0.0079,0.007,0.0059,0.018820662108184956,3.0995001284255035e-05
scilab,1,0.0003913894324853229,745,1.0510985537487754e-06,3.066570512187251e-05,3.066570512187251e-05,3.066570512187251e-05,3.066570512187251e-05,3.066570512187251e-05
perl,17,0.006653620352250489,966135,0.0013630914110417088,0.068,0.1392,0.0061,0.5485370164299274,1.0167019013560416e-05
scheme,3,0.0011741682974559687,363943,0.0005134764576469671,0.3436,0.4384,0.1936,0.8373400912101749,4.733632334248777e-06
gherkin,7,0.0027397260273972603,247213,0.00034878553928576644,0.153,0.1236,0.2074,0.27811783909344884,0.001824337892791407
vim script,8,0.0031311154598825833,691453,0.0009755506688392643,0.3794,0.5139,0.0124,1.0,0.00019616713439850754
tcl,1,0.0003913894324853229,92765,0.00013087940582349683,0.009128521194327239,0.009128521194327239,0.009128521194327239,0.009128521194327239,0.009128521194327239
objective-c++,9,0.0035225048923679062,448885,0.0006333186232208309,0.1591,0.1601,0.0802,0.33090190197014113,0.0038266816460796006
nesc,1,0.0003913894324853229,10324,1.456582747503672e-05,0.001015931146555645,0.001015931146555645,0.001015931146555645,0.001015931146555645,0.001015931146555645
thrift,2,0.0007827788649706458,5906,8.33260142072519e-06,0.0011,0.0008,0.0011,0.0017054182831254718,0.0005553966864742407
xs,1,0.0003913894324853229,21306,3.006000776667303e-05,0.004754504572857773,0.004754504572857773,0.004754504572857773,0.004754504572857773,0.004754504572857773
graphviz (dot),1,0.0003913894324853229,38912,5.4899794528150795e-05,0.007470288364035261,0.007470288364035261,0.007470288364035261,0.007470288364035261,0.007470288364035261
applescript,3,0.0011741682974559687,17888,2.5237652254306165e-05,0.2279,0.3662,0.0316,0.6504585887449877,0.001736484067311135
ocaml,2,0.0007827788649706458,298899,0.00042170779411671835,0.9092,0.1254,0.9092,0.9978137838160339,0.8205362120521007
inno setup,1,0.0003913894324853229,15543,2.1929160833445926e-05,0.8619198136749293,0.8619198136749293,0.8619198136749293,0.8619198136749293,0.8619198136749293
powershell,4,0.0015655577299412916,30253,4.268306650545195e-05,0.0041,0.0024,0.0047,0.006236815153928974,0.0009694957610736481
cartocss,1,0.0003913894324853229,2152,3.0361934062649187e-06,0.1070859872611465,0.1070859872611465,0.1070859872611465,0.1070859872611465,0.1070859872611465
haskell,5,0.0019569471624266144,196871,0.0002777594944631881,0.492,0.4641,0.5152,1.0,0.00908662850370872
smarty,5,0.0019569471624266144,50174,7.078901857153162e-05,0.1732,0.3072,0.016,0.7148854961832061,0.0025082190184756415
