label_id,repository_count,cluster_topics,languages,combinations
0,3,"['community', 'fossasia', 'event', 'github', 'youtube', 'navigation transforms', 'navigation drawer', 'navigation', 'navigate perfmatters', 'navigate']","['css', 'javascript', 'php', 'html']","{'css': 1, 'css javascript php': 1, 'css html': 1}"
1,2,"['declarative', 'technology', 'request', 'library', 'youtube', 'naughty string', 'native version', 'natural', 'natural language', 'naughty']","['css', 'html', 'javascript', 'shell']","{'css html javascript shell': 1, 'html': 1}"
2,571,"['simple', 'application', 'custom', 'layout', 'project', 'component', 'analysis', 'class', 'command', 'manager']","['css', 'html', 'shell', 'javascript', 'c', 'c++', 'objective-c', 'ruby', 'python', 'java', 'swift', 'makefile', 'go', 'php', 'coffeescript', 'c#']","{'java': 69, 'css html javascript': 56, 'objective-c ruby': 51, 'javascript': 37, 'objective-c': 28, 'python': 26, 'css html javascript shell': 22, 'ruby': 20, 'css javascript': 19, 'objective-c ruby shell': 13, 'css javascript ruby': 13, 'shell': 12, 'swift': 11, 'html javascript': 10, 'ruby shell': 10, 'java shell': 7, 'css html': 7, 'php': 7, 'c c++ python shell': 6, 'c objective-c ruby': 6, 'python shell': 6, 'css javascript php': 6, 'javascript shell': 5, 'c c++ makefile python': 5, 'javascript objective-c': 5, 'css html javascript python': 5, 'c#': 5, 'css html shell': 4, 'c c++ objective-c': 4, 'makefile python shell': 4, 'html': 4, 'c objective-c shell': 4, 'javascript makefile': 4, 'css html javascript makefile': 4, 'c c++': 4, 'c c++ makefile shell': 4, 'css javascript shell': 4, 'css javascript python': 4, 'javascript python': 3, 'objective-c shell': 3, 'go': 3, 'html javascript makefile': 3, 'coffeescript css javascript': 3, 'javascript ruby shell': 3, 'makefile shell': 3, 'c objective-c': 3, 'c c++ shell': 2, 'coffeescript html': 2, 'coffeescript javascript': 2, 'makefile': 2, 'c shell': 2, 'javascript php': 2, 'css': 2, 'html javascript shell': 1, 'javascript python shell': 1, 'css python shell': 1, 'c ruby shell': 1, 'css java': 1, 'c++ python shell': 1, 'java javascript': 1, 'css php': 1, 'c++ ruby': 1, 'css shell': 1, 'c++ html': 1, 'c c++ makefile': 1, 'c makefile': 1, 'c++ shell': 1, 'css ruby': 1, 'javascript ruby': 1, 'html javascript python': 1, 'c ruby': 1, 'c c++ python': 1, 'coffeescript html javascript': 1, 'c++ python': 1, 'c makefile python': 1}"
3,6,"['bootstrap', 'twitter bootstrap', 'twitter', 'button', 'principle', 'laravel', 'template', 'builder', 'generate', 'sample application']","['css', 'html', 'javascript', 'shell', 'objective-c', 'ruby', 'php', 'java']","{'css html javascript shell': 1, 'objective-c ruby': 1, 'css javascript php': 1, 'javascript': 1, 'ruby': 1, 'java': 1}"
4,4,"['google', 'youtube', 'native scroll', 'necessary', 'navigation transforms', 'navigation drawer', 'navigation', 'navigate perfmatters', 'navigate', 'navicon transformicons']","['css', 'html', 'javascript', 'makefile', 'python', 'shell', 'ruby', 'c', 'c++']","{'css html javascript': 1, 'makefile python shell': 1, 'css javascript ruby': 1, 'c c++ shell': 1}"
5,17,"['github', 'android', 'github command', 'ember', 'download', 'iphone', 'version', 'github repository', 'command', 'openpilot github']","['makefile', 'python', 'shell', 'css', 'html', 'javascript', 'swift', 'ruby', 'c', 'c++', 'objective-c', 'java', 'php']","{'css html javascript': 2, 'java': 2, 'makefile python shell': 1, 'css html javascript makefile': 1, 'swift': 1, 'ruby': 1, 'c c++ python shell': 1, 'css javascript shell': 1, 'objective-c shell': 1, 'ruby shell': 1, 'c c++ makefile shell': 1, 'c objective-c ruby': 1, 'php': 1, 'shell': 1, 'c++ python': 1}"
6,5,"['uiview', 'uiview subclass', 'subclass', 'photo carrusel', 'effect', 'facebook', 'progress springboard', 'photo', 'springboard', 'download']","['objective-c', 'ruby']",{'objective-c ruby': 5}
7,24,"['animation', 'custom animation', 'custom', 'framework', 'animation framework', 'effect', 'transition animation', 'uiview animation', 'transition', 'uiview']","['css', 'html', 'javascript', 'java', 'c', 'objective-c', 'ruby', 'shell', 'c#', 'swift']","{'objective-c ruby': 5, 'objective-c': 4, 'css html javascript': 3, 'java': 2, 'objective-c ruby shell': 2, 'c objective-c ruby': 2, 'c objective-c': 1, 'c#': 1, 'html javascript': 1, 'css javascript': 1, 'javascript': 1, 'swift': 1}"
8,8,"['example', 'moderation', 'basic', 'various', 'angularjs', 'boilerplate', 'websocket', 'mobile', 'server', 'framework']","['objective-c', 'css', 'javascript', 'ruby', 'html', 'shell']","{'css html javascript': 2, 'objective-c': 1, 'css javascript': 1, 'ruby': 1, 'css javascript shell': 1, 'javascript': 1, 'objective-c ruby': 1}"
9,21,"['library', 'objective library', 'objective', 'narrative', 'configurable', 'utility', 'drawing', 'restful', 'minimal', 'library project']","['css', 'javascript', 'html', 'makefile', 'python', 'java', 'c', 'c++', 'objective-c', 'php', 'shell', 'ruby']","{'java': 3, 'css html javascript': 2, 'php': 2, 'javascript shell': 2, 'css javascript': 1, 'html javascript makefile': 1, 'python': 1, 'javascript python': 1, 'c c++': 1, 'objective-c': 1, 'c++ javascript': 1, 'html javascript': 1, 'css shell': 1, 'objective-c ruby': 1, 'objective-c ruby shell': 1, 'ruby shell': 1}"
10,25,"['framework', 'application framework', 'objective', 'application', 'technology', 'mobile', 'software', 'cocoa', 'protocol', 'resource']","['css', 'ruby', 'javascript', 'c', 'c++', 'python', 'shell', 'html', 'objective-c', 'php', 'java', 'coffeescript', 'makefile']","{'objective-c shell': 2, 'objective-c ruby': 2, 'c objective-c': 2, 'css ruby': 1, 'javascript': 1, 'c c++ python shell': 1, 'html ruby': 1, 'javascript ruby': 1, 'ruby shell': 1, 'css python shell': 1, 'css html javascript': 1, 'css javascript shell': 1, 'objective-c': 1, 'css php': 1, 'css javascript php': 1, 'java': 1, 'coffeescript css javascript': 1, 'php': 1, 'css html javascript shell': 1, 'objective-c ruby shell': 1, 'c c++ makefile': 1, 'python': 1}"
11,3,"['socket', 'website', 'youtube', 'naughty string', 'native version', 'natural', 'natural language', 'naughty', 'navicon', 'native platform']","['objective-c', 'javascript', 'shell']","{'objective-c': 1, 'javascript shell': 1, 'javascript': 1}"
