cluster,repo_id,subjects,topics,combinations
2,12231467,"['source', 'cloud', 'desktop']","['source', 'cloud', 'desktop']",['css html']
13,9477941,"['modern', 'terminal', 'emulator']","['modern', 'terminal', 'emulator']",['css html shell']
13,1171324,"['front', 'template', 'modern', 'mobile']","['front', 'template', 'modern', 'mobile']",['css html javascript']
13,472860,['helium'],['helium'],['css html']
26,24504893,"['phison', 'custom', 'firmware', 'firmware', 'patch', 'badusb']","['phison', 'custom', 'firmware', 'firmware', 'patch', 'badusb']",['c c++ shell']
12,3171250,"['responsive', 'animation', 'framework']","['responsive', 'animation', 'framework']",['css html']
13,11745592,"['input', 'skeuomorphic', 'interface']","['input', 'skeuomorphic', 'interface']",['coffeescript css html']
13,12872299,"['source', 'version', 'google', 'container', 'linux', 'application', 'container']","['source', 'version', 'google', 'container', 'linux', 'application', 'container']",['makefile python shell']
33,45007173,"['apache', 'nutch', 'crawl', 'semantic', 'annotation']","['apache', 'nutch', 'crawl', 'semantic', 'annotation']",['html shell']
35,9461481,['github'],['github'],['makefile shell']
8,12008872,"['native', 'additional', 'opportunity', 'setup', 'controller', 'sheet']","['native', 'additional', 'opportunity', 'setup', 'controller', 'sheet']",['c ruby shell']
13,13360219,"['personal', 'dashboard']","['personal', 'dashboard']",['css html']
16,15459334,['front'],['front'],['css html']
33,2674131,"['endless', 'possiblities']","['endless', 'possiblities']",['css javascript']
33,18806010,"['large', 'collection', 'issue', 'hhsnopek', 'github']","['large', 'collection', 'issue', 'hhsnopek', 'github']",['css html makefile']
13,2434294,"['format', 'public']","['format', 'public']",['javascript ruby']
13,1549501,"['single', 'large', 'scale', 'application', 'useful', 'resource']","['single', 'large', 'scale', 'application', 'useful', 'resource']",['css html shell']
8,33822865,"['standard', 'native', 'platform']","['standard', 'native', 'platform']",['css javascript']
17,2046531,"['source', 'implementation']","['source', 'implementation']",['c ruby']
23,6636672,"['progress', 'library', 'presentation', 'quality', 'diagram']","['progress', 'library', 'presentation', 'quality', 'diagram']",['html shell']
8,34876145,['convergence'],['convergence'],['makefile python shell']
22,20944181,['value'],['value'],['c ruby shell']
13,13286687,"['downtime', 'restarts']","['downtime', 'restarts']",['c c++ makefile']
26,1107889,"['custom', 'event']","['custom', 'event']",['css shell']
11,20609191,['client'],['client'],['css html shell']
33,977244,"['technology', 'objective', 'runtime', 'compiler', 'infrastructure', 'framework']","['technology', 'objective', 'runtime', 'compiler', 'infrastructure', 'framework']",['c c++ shell']
9,1569010,"['library', 'library', 'module', 'framework']","['library', 'library', 'module', 'framework']",['html makefile']
13,22452767,"['mitro', 'client', 'server']","['mitro', 'client', 'server']",['css javascript python']
13,8939969,"['mobile', 'theme']","['mobile', 'theme']",['html javascript']
2,726981,"['source', 'status', 'dashboard', 'engine']","['source', 'status', 'dashboard', 'engine']",['css javascript shell']
13,1168065,"['complete', 'unofficial', 'history', 'release', 'request', 'proper', 'submit', 'change', 'development']","['complete', 'unofficial', 'history', 'release', 'request', 'proper', 'submit', 'change', 'development']",['html ruby']
13,3820245,"['wordpress', 'admin', 'theme']","['wordpress', 'admin', 'theme']",['css javascript']
13,4271712,"['internet', 'freedom']","['internet', 'freedom']",['makefile shell']
41,38608658,['series'],['series'],['html javascript']
36,8204343,"['automation', 'raspberry']","['automation', 'raspberry']",['css html']
9,31775387,"['library', 'narrative']","['library', 'narrative']",['html javascript']
33,8148516,"['pretty', 'debugger']","['pretty', 'debugger']",['css html shell']
13,12897630,"['point', 'click', 'browser']","['point', 'click', 'browser']",['css html shell']
3,442870,"['calendar', 'component']","['calendar', 'component']",['python shell']
40,32997960,['toolkit'],['toolkit'],['css html']
8,638483,"['mongohub', 'native', 'version']","['mongohub', 'native', 'version']",['c shell']
33,2279402,"['spiritual', 'successor']","['spiritual', 'successor']",['html javascript']
26,36112282,['frontend'],['frontend'],['css html shell']
33,27139928,"['fossasia', 'community']","['fossasia', 'community']",['css html']
26,33446569,"['facebook', 'custom', 'animation', 'tweaner', 'google', 'tweaner', 'mmtweaneranimation', 'custom', 'animation']","['facebook', 'custom', 'animation', 'tweaner', 'google', 'tweaner', 'mmtweaneranimation', 'custom', 'animation']",['c ruby shell']
23,341674,"['flash', 'library', 'flash', 'gravity', 'fathom', 'primary', 'function', 'useful', 'class', 'object']","['flash', 'library', 'flash', 'gravity', 'fathom', 'primary', 'function', 'useful', 'class', 'object']",['python shell']
23,1470094,"['query', 'selector', 'engine']","['query', 'selector', 'engine']",['javascript makefile']
13,6786317,"['graphite', 'dashboard']","['graphite', 'dashboard']",['css html javascript shell']
33,32777471,"['declarative', 'wireframes', 'technology', 'request']","['declarative', 'wireframes', 'technology', 'request']",['css html shell']
33,19160024,"['manage', 'content']","['manage', 'content']",['css html javascript']
26,24212800,"['custom', 'animation']","['custom', 'animation']",['c ruby']
33,277662,"['cheap', 'content', 'management']","['cheap', 'content', 'management']",['css javascript']
35,11080240,"['github', 'ember']","['github', 'ember']",['css html']
7,10449816,"['editor', 'toolbar']","['editor', 'toolbar']",['css html']
35,16812372,['github'],['github'],['makefile python shell']
33,7392504,"['responsive', 'fluid', 'layout']","['responsive', 'fluid', 'layout']",['javascript ruby']
23,2520793,"['change', 'chrome', 'developer']","['change', 'chrome', 'developer']",['css html']
46,3361311,"['linux', 'configuration']","['linux', 'configuration']",['css python']
35,2908405,"['download', 'github']","['download', 'github']",['css javascript shell']
4,14037019,['application'],['application'],['css html makefile']
13,5185037,"['android', 'phone', 'surveillance', 'camera']","['android', 'phone', 'surveillance', 'camera']",['css javascript python']
12,327753,"['application', 'framework']","['application', 'framework']",['ruby shell']
7,12164486,['meteor'],['meteor'],['css html']
20,1029604,['digital'],['digital'],['css html']
7,18856964,"['pixel', 'editor']","['pixel', 'editor']",['coffeescript css']
33,2101682,['gecko'],['gecko'],['c c++']
23,78289,"['simple', 'language', 'parsley', 'powerful', 'selector', 'language', 'structure']","['simple', 'language', 'parsley', 'powerful', 'selector', 'language', 'structure']",['c++ ruby']
33,31996111,"['easiest', 'share', 'animation', 'priceless']","['easiest', 'share', 'animation', 'priceless']",['html javascript']
33,4640980,"['raspberry', 'pwnie', 'express']","['raspberry', 'pwnie', 'express']",['c++ makefile shell']
13,4047634,"['music', 'player']","['music', 'player']",['c ruby']
23,24851356,"['plugin', 'control', 'radical', 'typography']","['plugin', 'control', 'radical', 'typography']",['css html']
33,6743320,"['field', 'credit', 'input', 'credit', 'entry', 'process']","['field', 'credit', 'input', 'credit', 'entry', 'process']",['css html']
13,7010430,"['extra', 'stuff']","['extra', 'stuff']",['html javascript shell']
31,34348479,"['google', 'voice']","['google', 'voice']",['css html']
23,11428741,"['jquery', 'fileapi', 'jquery', 'plugin', 'fileapi', 'image', 'resize']","['jquery', 'fileapi', 'jquery', 'plugin', 'fileapi', 'image', 'resize']",['css html']
13,43001482,"['elastic', 'effect', 'dribbble', 'download']","['elastic', 'effect', 'dribbble', 'download']",['css html']
