language_count,project_count,distribution
2,242,0.242
3,174,0.174
5,49,0.049
4,99,0.099
8,8,0.008
1,369,0.369
6,22,0.022
12,1,0.001
19,1,0.001
17,1,0.001
9,10,0.01
7,14,0.014
11,1,0.001
13,4,0.004
10,3,0.003
14,1,0.001
22,1,0.001
