language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
openedge abl,1,0.0003929273084479371,51384,9.132434228500696e-05,0.00061827494840008,0.00061827494840008,0.00061827494840008,0.00061827494840008,0.00061827494840008
gcc machine description,1,0.0003929273084479371,1202,2.136304285897913e-06,0.003187272124627113,0.003187272124627113,0.003187272124627113,0.003187272124627113,0.003187272124627113
sourcepawn,2,0.0007858546168958742,1985,3.527923467144224e-06,0.029,0.0404,0.029,0.05749671126512016,0.0004129667272921793
pawn,1,0.0003929273084479371,777,1.3809554327310137e-06,0.024930214650110694,0.024930214650110694,0.024930214650110694,0.024930214650110694,0.024930214650110694
actionscript,2,0.0007858546168958742,330871,0.0005880541891674945,0.0295,0.0293,0.0295,0.05019220880041995,0.008714612576297688
nginx,1,0.0003929273084479371,229,4.069997350005175e-07,0.001348113524110039,0.001348113524110039,0.001348113524110039,0.001348113524110039,0.001348113524110039
lua,4,0.0015717092337917485,528291,0.0009389270611491633,0.2701,0.4869,0.0391,1.0,0.001960340150149602
asp,3,0.0011787819253438114,176645,0.0003139496427474516,0.0305,0.0359,0.0213,0.07011250336836432,9.757892295264223e-05
inno setup,2,0.0007858546168958742,21898,3.891912749799709e-05,0.0015,0.0012,0.0015,0.0023291228997816974,0.0006827915002766244
roff,1,0.0003929273084479371,595913,0.0010591110614994034,0.4358029268877739,0.4358029268877739,0.4358029268877739,0.4358029268877739,0.4358029268877739
smarty,2,0.0007858546168958742,6808,1.2099799982024118e-05,0.1473,0.2081,0.1473,0.29451297696423046,0.00017691084776400332
qml,2,0.0007858546168958742,290862,0.0005169465367760722,0.1854,0.2413,0.1854,0.3560405650255231,0.014846827995262093
gnuplot,1,0.0003929273084479371,648,1.1516848396521195e-06,0.00019260749831691363,0.00019260749831691363,0.00019260749831691363,0.00019260749831691363,0.00019260749831691363
vala,1,0.0003929273084479371,85358,0.00015170604096145928,0.9827078056642874,0.9827078056642874,0.9827078056642874,0.9827078056642874,0.9827078056642874
postscript,1,0.0003929273084479371,1790137,0.003181595129321491,1.0,1.0,1.0,1.0,1.0
erlang,3,0.0011787819253438114,854521,0.0015187328408400752,0.6539,0.5646,0.9663,0.9933511370519245,0.002203284847907322
xml,1,0.0003929273084479371,350166,0.0006223470271012717,0.848177887584929,0.848177887584929,0.848177887584929,0.848177887584929,0.848177887584929
metal,1,0.0003929273084479371,56545,0.00010049694329958194,0.15030808572172868,0.15030808572172868,0.15030808572172868,0.15030808572172868,0.15030808572172868
plpgsql,2,0.0007858546168958742,47651,8.468971341707275e-05,0.2266,0.2486,0.2266,0.4024509803921569,0.0508337310847122
sqlpl,1,0.0003929273084479371,11510,2.045662423517885e-05,0.0127169954744732,0.0127169954744732,0.0127169954744732,0.0127169954744732,0.0127169954744732
applescript,2,0.0007858546168958742,1289,2.2909286393697254e-06,0.0021,0.0021,0.0021,0.003628561906348942,0.0006333909143255447
objective-j,1,0.0003929273084479371,134975,0.00023988990930871114,0.005153396148195752,0.005153396148195752,0.005153396148195752,0.005153396148195752,0.005153396148195752
jasmin,1,0.0003929273084479371,19177,3.4083117546309714e-05,0.0007321850560025926,0.0007321850560025926,0.0007321850560025926,0.0007321850560025926,0.0007321850560025926
llvm,1,0.0003929273084479371,7778,1.3823772658663867e-05,0.0002969669586269054,0.0002969669586269054,0.0002969669586269054,0.0002969669586269054,0.0002969669586269054
cuda,2,0.0007858546168958742,88633,0.00015752667035939244,0.0769,0.0557,0.0769,0.11623386001906467,0.037525480974972276
common lisp,1,0.0003929273084479371,7937,1.4106361994319247e-05,0.18491682587018313,0.18491682587018313,0.18491682587018313,0.18491682587018313,0.18491682587018313
perl 6,2,0.0007858546168958742,19990,3.552805547013251e-05,0.5137,0.6877,0.5137,1.0,0.027396706271141887
dtrace,2,0.0007858546168958742,2119,3.766080517319199e-06,0.007,0.0098,0.007,0.014001638489610486,8.828614733654958e-05
pascal,3,0.0011787819253438114,6424337,0.011417919024253362,0.2224,0.3771,0.0077,0.6578394044031385,0.001809021447161487
fortran,1,0.0003929273084479371,611,1.0859250571411189e-06,0.001535550121512027,0.001535550121512027,0.001535550121512027,0.001535550121512027,0.001535550121512027
scheme,1,0.0003929273084479371,88485,0.00015726363122934843,1.0,1.0,1.0,1.0,1.0
clojure,2,0.0007858546168958742,150597,0.00026765475585970716,0.4588,0.5644,0.4588,0.8578938947175936,0.05974906054936243
freemarker,1,0.0003929273084479371,1667,2.9627447958334618e-06,0.4709039548022599,0.4709039548022599,0.4709039548022599,0.4709039548022599,0.4709039548022599
rust,3,0.0011787819253438114,390193,0.0006934866707382399,0.9994,0.0011,1.0,1.0,0.9981798877597452
oxygene,1,0.0003929273084479371,21605,3.839838111216673e-05,0.006013834184632086,0.006013834184632086,0.006013834184632086,0.006013834184632086,0.006013834184632086
protocol buffer,2,0.0007858546168958742,6372,1.1324900923245842e-05,0.0048,0.0015,0.0048,0.005862636052073264,0.003721994434341938
f#,1,0.0003929273084479371,16046,2.8518418112743687e-05,0.011714495136360052,0.011714495136360052,0.011714495136360052,0.011714495136360052,0.011714495136360052
elixir,1,0.0003929273084479371,83,1.475151877949474e-07,0.0010390976125793407,0.0010390976125793407,0.0010390976125793407,0.0010390976125793407,0.0010390976125793407
smali,1,0.0003929273084479371,279240,0.0004962908559019412,0.4378964535781773,0.4378964535781773,0.4378964535781773,0.4378964535781773,0.4378964535781773
xslt,2,0.0007858546168958742,23567,4.188542687666898e-05,0.1093,0.0334,0.1093,0.1329269305122336,0.08572279734862591
papyrus,1,0.0003929273084479371,1879568,0.003340540078233418,0.2972751632463203,0.2972751632463203,0.2972751632463203,0.2972751632463203,0.2972751632463203
livescript,1,0.0003929273084479371,57996,0.00010307579314886469,0.9938309685379395,0.9938309685379395,0.9938309685379395,0.9938309685379395,0.9938309685379395
