language_count,project_count,distribution
2,249,0.249
1,370,0.37
3,162,0.162
4,100,0.1
23,1,0.001
17,2,0.002
5,46,0.046
6,29,0.029
28,1,0.001
10,5,0.005
7,9,0.009
15,3,0.003
33,1,0.001
9,6,0.006
8,7,0.007
14,1,0.001
12,1,0.001
16,3,0.003
27,1,0.001
36,1,0.001
11,1,0.001
48,1,0.001
